interaction_id,date_id,account_id,channel_id,interaction_type,interaction_rating
198,116,22877,1,ATM Transaction,3
199,138,21410,5,Online Query,3
200,137,14422,3,Branch Visit,2
201,245,10759,2,ATM Transaction,4
202,282,372,4,Branch Visit,4
203,363,2353,3,ATM Transaction,4
204,272,23665,3,Support Call,5
205,61,20121,1,ATM Transaction,2
206,30,25283,4,Online Query,3
207,328,20424,4,Online Query,1
208,339,316,5,Support Call,2
209,20,29056,5,ATM Transaction,2
210,357,20140,3,Online Query,1
211,201,14940,1,Online Query,5
212,228,3134,3,Branch Visit,1
213,143,6196,5,Online Query,4
214,16,4714,2,Support Call,5
215,195,16690,5,ATM Transaction,4
216,13,29210,5,ATM Transaction,3
217,208,3151,5,Online Query,5
218,259,23508,4,ATM Transaction,1
219,128,5705,3,ATM Transaction,1
220,176,15178,1,Support Call,5
221,152,22008,1,Branch Visit,2
222,181,2109,5,Online Query,1
223,80,25889,3,Support Call,4
224,97,22596,5,ATM Transaction,2
225,159,20018,3,ATM Transaction,1
226,164,26332,4,ATM Transaction,2
227,298,27213,2,ATM Transaction,3
228,207,2184,1,Support Call,2
229,223,29518,1,Online Query,3
230,153,22030,1,ATM Transaction,3
231,26,29470,4,Online Query,5
232,312,24066,2,Support Call,5
233,5,6109,2,Support Call,1
234,233,15330,1,Branch Visit,2
235,24,10868,4,Support Call,5
236,112,24601,3,Branch Visit,5
237,149,29496,2,ATM Transaction,1
238,22,5801,1,Online Query,3
239,293,28136,5,Branch Visit,3
240,41,28504,5,Branch Visit,1
241,198,15233,2,Support Call,4
242,314,7462,3,Branch Visit,3
243,274,1032,4,Support Call,3
244,27,29328,2,Support Call,1
245,89,3015,2,Support Call,4
246,163,5798,3,Branch Visit,5
247,45,9896,3,Branch Visit,3
248,21,26391,5,ATM Transaction,4
249,124,21680,4,Online Query,4
250,134,22344,3,Online Query,3
251,273,19012,2,Support Call,3
252,347,7005,1,Branch Visit,1
253,346,19532,3,Support Call,2
254,93,18192,3,ATM Transaction,5
255,365,6960,3,Branch Visit,3
256,311,14525,4,Online Query,3
257,287,11169,1,Online Query,3
258,309,13196,4,Online Query,3
259,209,17201,5,Branch Visit,5
260,117,2901,3,ATM Transaction,3
261,252,26052,5,Online Query,1
262,257,20478,3,ATM Transaction,4
263,217,27832,4,ATM Transaction,2
264,199,9907,3,Online Query,1
265,213,29966,4,ATM Transaction,4
266,131,21457,4,Branch Visit,4
267,48,7957,1,Online Query,5
268,149,5278,1,Online Query,2
269,56,9173,1,Online Query,1
270,22,17280,5,ATM Transaction,1
271,168,9763,1,Branch Visit,5
272,77,29531,2,Branch Visit,1
273,303,16579,2,Support Call,1
274,315,22552,2,Online Query,1
275,215,8459,3,Support Call,5
276,71,3682,5,Branch Visit,2
277,79,18534,2,ATM Transaction,1
278,140,13090,1,Support Call,3
279,286,1436,1,ATM Transaction,5
280,207,26124,1,Support Call,3
281,364,15,2,ATM Transaction,5
282,250,23094,4,Branch Visit,5
283,27,4492,1,ATM Transaction,4
284,160,22001,4,ATM Transaction,4
285,158,17747,3,ATM Transaction,3
286,330,5100,1,ATM Transaction,1
287,149,376,5,Online Query,1
288,141,4926,5,Branch Visit,1
289,84,29405,5,Online Query,5
290,187,5521,2,Branch Visit,4
291,320,24891,4,Branch Visit,4
292,305,21608,3,Branch Visit,2
293,326,57,2,Branch Visit,2
294,142,13634,3,Online Query,3
295,15,29662,4,ATM Transaction,2
296,263,17616,1,Support Call,4
297,9,5782,4,Support Call,2
298,276,29146,2,Branch Visit,2
299,131,27414,1,Online Query,4
300,197,3087,1,ATM Transaction,2
301,255,11416,2,Online Query,1
302,152,17835,4,Support Call,3
303,291,22800,2,Online Query,3
304,204,4889,5,Branch Visit,2
305,112,4794,5,Online Query,2
306,352,13173,3,Branch Visit,1
307,119,1805,3,Online Query,3
308,220,28071,5,Support Call,4
309,328,131,2,Online Query,2
310,213,23446,2,Online Query,5
311,175,9409,3,Branch Visit,1
312,5,24519,4,Online Query,2
313,138,20343,1,ATM Transaction,5
314,282,29654,4,Support Call,1
315,155,1221,2,ATM Transaction,5
316,125,19121,5,ATM Transaction,4
317,205,1415,5,Branch Visit,4
318,67,12957,4,Online Query,3
319,307,21046,1,Support Call,3
320,341,5980,1,Support Call,2
321,36,25919,4,Support Call,3
322,159,28236,1,Branch Visit,4
323,147,14147,4,Support Call,3
324,120,4834,1,ATM Transaction,1
325,44,28250,2,Support Call,1
326,106,23722,4,Online Query,5
327,84,19049,5,Support Call,4
328,100,10647,5,Support Call,5
329,49,5571,2,Branch Visit,1
330,214,28235,2,Support Call,4
331,320,13246,5,ATM Transaction,2
332,36,4151,5,Branch Visit,5
333,234,3597,3,ATM Transaction,1
334,243,3402,1,Branch Visit,3
335,335,5729,5,Support Call,1
336,172,27868,5,Support Call,4
337,159,831,2,ATM Transaction,5
338,24,24050,1,ATM Transaction,3
339,353,6547,1,Branch Visit,5
340,8,17261,1,Branch Visit,2
341,161,23962,2,Support Call,3
342,277,23028,5,Online Query,4
343,297,12402,5,Branch Visit,5
344,308,13701,5,ATM Transaction,5
345,85,21229,1,Support Call,5
346,71,6503,2,ATM Transaction,4
347,56,16850,3,Support Call,3
348,326,1290,4,ATM Transaction,4
349,270,15089,1,Support Call,3
350,13,4077,1,Support Call,5
351,6,19247,2,Branch Visit,4
352,355,18000,5,Branch Visit,2
353,302,23879,4,ATM Transaction,4
354,4,5874,4,Support Call,1
355,304,3847,1,Branch Visit,5
356,87,1994,1,Online Query,5
357,254,10505,3,Support Call,4
358,324,7758,3,Online Query,5
359,320,3455,1,Online Query,1
360,28,9785,5,Online Query,2
361,221,26681,3,Online Query,2
362,210,223,1,Branch Visit,2
363,330,29942,4,Branch Visit,4
364,149,3000,1,Online Query,3
365,250,2093,1,Support Call,1
366,268,7962,1,Support Call,4
367,261,21328,2,Online Query,4
368,35,4400,2,Online Query,5
369,196,2422,2,Online Query,2
370,58,11082,1,ATM Transaction,5
371,51,12664,5,Support Call,3
372,14,8292,1,ATM Transaction,1
373,102,23999,4,Branch Visit,5
374,70,29997,1,Online Query,5
375,58,11714,1,Online Query,3
376,336,15946,4,ATM Transaction,5
377,125,10921,2,ATM Transaction,5
378,32,11802,3,Branch Visit,1
379,19,856,2,Support Call,3
380,245,16139,4,Online Query,3
381,252,5716,3,Online Query,4
382,313,10208,2,ATM Transaction,4
383,124,21996,2,Branch Visit,5
384,58,711,2,Online Query,1
385,46,17529,5,Support Call,1
386,140,9410,1,Support Call,2
387,330,15503,5,Branch Visit,4
388,302,18005,5,ATM Transaction,5
389,346,792,3,ATM Transaction,5
390,254,18895,3,ATM Transaction,1
391,281,10461,4,Branch Visit,1
392,205,13098,1,Online Query,2
393,31,16590,2,Branch Visit,4
394,86,24738,1,Branch Visit,3
395,131,21617,1,ATM Transaction,4
396,77,28397,2,Branch Visit,3
397,49,22115,4,Support Call,5
398,86,23620,2,ATM Transaction,3
399,272,2648,4,Support Call,4
400,11,2432,2,Branch Visit,4
401,205,23017,1,ATM Transaction,2
402,89,15865,5,ATM Transaction,1
403,333,16754,2,Support Call,1
404,53,15490,4,ATM Transaction,1
405,114,11503,5,Support Call,2
406,262,19756,2,Online Query,1
407,304,14459,3,Support Call,2
408,90,14035,1,Online Query,1
409,347,1448,1,Online Query,3
410,308,10631,1,Branch Visit,2
411,127,7333,1,Branch Visit,2
412,219,27420,1,Support Call,5
413,182,13883,5,Branch Visit,1
414,228,12991,4,Support Call,3
415,143,22836,3,Online Query,1
416,21,11409,5,Branch Visit,2
417,155,29249,2,Online Query,2
418,42,24962,2,Online Query,2
419,285,26110,2,ATM Transaction,4
420,239,22622,5,ATM Transaction,5
421,45,8888,2,Branch Visit,1
422,301,22863,1,Online Query,4
423,140,22647,5,Support Call,2
424,189,2918,3,ATM Transaction,4
425,264,19162,2,ATM Transaction,5
426,353,11730,2,Support Call,5
427,44,13441,5,Online Query,2
428,323,19824,2,Support Call,5
429,340,26293,2,Online Query,4
430,45,15129,2,ATM Transaction,2
431,49,20671,3,Support Call,2
432,90,6035,4,Support Call,4
433,88,1505,2,Support Call,1
434,15,7267,5,Branch Visit,3
435,242,9364,5,Online Query,3
436,169,20975,3,Online Query,1
437,77,7091,3,Support Call,5
438,231,10209,1,Online Query,3
439,29,27720,4,ATM Transaction,2
440,351,458,1,ATM Transaction,1
441,331,28778,4,Online Query,5
442,254,15244,1,Branch Visit,3
443,142,15967,5,Online Query,1
444,364,11551,2,Online Query,5
445,139,14889,3,Support Call,5
446,268,4451,1,Support Call,2
447,182,11754,1,Branch Visit,2
448,292,17938,1,ATM Transaction,1
449,210,13746,3,Branch Visit,3
450,337,14415,1,Support Call,3
451,188,23588,5,Branch Visit,5
452,255,23639,5,Branch Visit,4
453,144,22200,4,Branch Visit,2
454,122,182,2,Branch Visit,5
455,134,16182,3,Support Call,3
456,25,4798,2,Branch Visit,5
457,255,8344,3,ATM Transaction,4
458,195,26807,4,Online Query,2
459,241,23866,4,Support Call,3
460,28,23934,3,Branch Visit,3
461,315,7561,5,Support Call,2
462,96,21758,2,Support Call,4
463,231,7161,3,Online Query,1
464,352,28265,4,Online Query,2
465,39,21246,5,ATM Transaction,3
466,206,1208,1,Support Call,3
467,220,3802,5,Online Query,3
468,88,24381,4,Branch Visit,4
469,360,29779,1,Online Query,4
470,133,6922,4,Branch Visit,5
471,59,12568,3,Online Query,3
472,329,17616,2,ATM Transaction,5
473,43,22569,1,ATM Transaction,5
474,360,2388,1,ATM Transaction,4
475,361,22988,3,Online Query,2
476,304,2180,4,Online Query,5
477,104,29350,4,ATM Transaction,3
478,212,8422,5,ATM Transaction,1
479,340,12679,3,Support Call,3
480,38,7211,5,ATM Transaction,3
481,144,10576,2,ATM Transaction,3
482,31,17642,2,Online Query,5
483,343,11359,5,ATM Transaction,2
484,292,10358,1,Support Call,1
485,283,7530,5,Branch Visit,1
486,19,24008,2,Branch Visit,5
487,313,22334,5,Branch Visit,1
488,332,12195,2,Online Query,1
489,164,15764,1,Online Query,3
490,240,1021,3,Support Call,2
491,254,27420,2,Support Call,3
492,69,519,3,Online Query,2
493,125,3579,2,ATM Transaction,2
494,363,21477,2,Online Query,4
495,295,22735,4,Support Call,5
496,136,4177,1,Support Call,3
497,88,19136,2,Branch Visit,2
498,150,5873,1,Branch Visit,1
499,325,4727,4,Online Query,4
500,298,23445,4,Branch Visit,3
501,298,23128,3,Branch Visit,5
502,233,9735,3,ATM Transaction,4
503,304,14698,1,Branch Visit,5
504,194,14237,5,Support Call,2
505,303,8702,5,Branch Visit,4
506,280,19597,1,Support Call,1
507,172,27678,5,ATM Transaction,1
508,79,5287,1,ATM Transaction,3
509,167,14236,2,Branch Visit,1
510,144,29352,4,Support Call,3
511,33,8920,4,Support Call,1
512,281,14412,1,Branch Visit,2
513,288,14997,1,ATM Transaction,4
514,58,5854,4,ATM Transaction,2
515,266,22126,1,Branch Visit,2
516,249,9372,2,Online Query,3
517,360,17629,3,ATM Transaction,2
518,153,450,3,Branch Visit,1
519,325,15172,4,Online Query,2
520,180,1680,4,ATM Transaction,4
521,28,22621,1,Online Query,1
522,245,28083,5,Branch Visit,3
523,179,22645,2,ATM Transaction,2
524,343,11405,2,ATM Transaction,5
525,303,25868,2,Branch Visit,3
526,4,9906,2,Branch Visit,1
527,120,26124,1,Online Query,5
528,26,28395,5,ATM Transaction,5
529,216,8301,5,ATM Transaction,2
530,129,4994,3,ATM Transaction,3
531,14,16666,2,Branch Visit,3
532,97,16658,2,Support Call,4
533,146,26791,2,Branch Visit,3
534,281,10630,3,Branch Visit,1
535,158,18360,4,ATM Transaction,4
536,5,16240,3,Support Call,1
537,169,3617,4,Branch Visit,4
538,315,345,5,Support Call,4
539,331,24778,4,Online Query,3
540,302,3953,2,Online Query,5
541,137,28829,2,Support Call,1
542,57,4893,3,Branch Visit,3
543,319,1118,1,Online Query,1
544,317,3270,2,ATM Transaction,5
545,260,24202,1,Support Call,1
546,194,7487,2,Online Query,1
547,342,25114,1,ATM Transaction,1
548,51,15052,3,Online Query,1
549,229,22036,4,Branch Visit,4
550,72,12349,3,ATM Transaction,3
551,337,11142,3,Online Query,1
552,359,7884,2,Branch Visit,5
553,242,4851,3,Branch Visit,3
554,105,13498,5,Online Query,1
555,32,25264,2,ATM Transaction,1
556,52,4285,5,Branch Visit,2
557,146,20025,3,ATM Transaction,3
558,136,16776,4,ATM Transaction,5
559,125,11936,1,Branch Visit,1
560,170,11842,5,ATM Transaction,1
561,237,20616,1,Support Call,5
562,215,295,1,Online Query,3
563,314,12656,1,Support Call,2
564,27,29684,1,ATM Transaction,4
565,103,14739,5,Online Query,1
566,105,17489,3,Support Call,1
567,173,7130,1,Online Query,4
568,102,23402,3,Online Query,5
569,306,18959,3,Online Query,4
570,314,7946,2,Support Call,3
571,257,11823,5,ATM Transaction,1
572,266,9627,2,Branch Visit,5
573,219,14831,1,ATM Transaction,4
574,218,29388,2,Branch Visit,5
575,139,19319,5,ATM Transaction,3
576,120,10622,4,Branch Visit,5
577,119,7740,2,Online Query,3
578,207,17863,5,ATM Transaction,5
579,206,7006,4,Branch Visit,2
580,284,20692,3,Support Call,4
581,193,20956,1,Online Query,2
582,244,4822,3,Support Call,2
583,91,12116,5,Online Query,4
584,210,10615,3,ATM Transaction,3
585,302,8169,4,ATM Transaction,2
586,295,12826,2,ATM Transaction,1
587,182,5788,3,Support Call,5
588,34,1459,1,Branch Visit,2
589,223,22895,1,Branch Visit,3
590,42,574,4,Online Query,3
591,249,14485,4,Support Call,5
592,192,25955,3,Online Query,3
593,119,17111,2,Branch Visit,3
594,37,29233,3,Support Call,4
595,66,20737,1,Support Call,3
596,83,5084,2,Branch Visit,4
597,342,16960,1,Online Query,5
598,90,5174,3,Support Call,4
599,229,6618,5,ATM Transaction,4
600,337,3404,2,Support Call,1
601,6,14549,2,Branch Visit,4
602,310,28088,1,ATM Transaction,2
603,44,11334,1,Online Query,4
604,169,19236,1,Online Query,1
605,162,19613,3,Branch Visit,5
606,186,4285,3,Branch Visit,2
607,330,13492,4,ATM Transaction,3
608,43,10119,5,Support Call,3
609,102,4500,4,Online Query,3
610,168,3156,4,ATM Transaction,1
611,238,23843,5,Support Call,4
612,76,6117,1,Online Query,3
613,284,26494,2,Online Query,4
614,66,3384,2,Branch Visit,3
615,54,18735,4,Branch Visit,4
616,13,21434,5,ATM Transaction,2
617,153,29787,1,ATM Transaction,3
618,249,15556,5,Online Query,3
619,322,23334,5,ATM Transaction,1
620,25,29241,4,Online Query,3
621,154,2776,3,Branch Visit,2
622,90,394,4,Branch Visit,4
623,87,15355,5,Support Call,2
624,266,16530,5,Branch Visit,1
625,30,5652,5,ATM Transaction,4
626,149,23589,2,ATM Transaction,4
627,275,13779,4,Support Call,2
628,123,26007,4,Branch Visit,1
629,40,19834,2,Online Query,1
630,336,24727,2,Support Call,1
631,28,18759,2,Online Query,4
632,176,2593,5,Branch Visit,2
633,296,16252,4,Branch Visit,3
634,70,25188,3,Online Query,5
635,94,28068,5,Support Call,1
636,329,9073,3,Support Call,5
637,54,1116,5,Support Call,4
638,178,4938,3,Online Query,3
639,162,5182,2,Support Call,3
640,180,4849,1,Branch Visit,1
641,113,18456,3,Online Query,1
642,203,25512,5,Support Call,2
643,204,26480,5,Support Call,2
644,57,22064,5,Support Call,5
645,283,18102,4,Online Query,5
646,22,19318,5,Branch Visit,3
647,242,18529,4,ATM Transaction,3
648,346,5548,4,Online Query,4
649,42,13540,4,Branch Visit,3
650,276,22798,4,Branch Visit,1
651,242,17602,4,Online Query,1
652,340,23076,5,Support Call,1
653,355,19771,1,Support Call,2
654,218,7483,3,Branch Visit,3
655,355,11196,2,Support Call,5
656,244,2652,5,Branch Visit,2
657,304,24206,3,Online Query,5
658,251,16095,2,Online Query,4
659,354,21919,4,Support Call,5
660,36,21229,3,Online Query,4
661,304,4790,1,Support Call,4
662,129,16349,5,Support Call,3
663,119,5954,4,ATM Transaction,1
664,310,14059,2,ATM Transaction,2
665,124,3474,5,Online Query,4
666,338,23268,3,ATM Transaction,3
667,160,25175,2,Support Call,5
668,233,5142,2,Online Query,5
669,68,7188,5,ATM Transaction,2
670,362,25374,4,Online Query,1
671,326,19255,2,Support Call,5
672,2,24516,4,Branch Visit,5
673,267,18511,1,Online Query,1
674,25,14747,5,Online Query,2
675,25,27677,4,ATM Transaction,5
676,240,10308,5,Support Call,2
677,101,9341,5,Support Call,4
678,309,4842,1,Support Call,2
679,265,28486,5,ATM Transaction,3
680,198,454,3,Support Call,1
681,137,21243,4,Online Query,5
682,98,12989,4,ATM Transaction,5
683,186,730,5,ATM Transaction,5
684,75,21164,4,Support Call,3
685,132,6025,3,Branch Visit,1
686,191,5784,1,Online Query,3
687,243,541,5,Branch Visit,5
688,199,7346,5,Support Call,1
689,51,19098,3,Support Call,3
690,125,23008,4,Online Query,3
691,316,25539,4,ATM Transaction,1
692,306,7364,3,Support Call,5
693,345,18022,1,Support Call,5
694,350,16505,2,ATM Transaction,4
695,337,20458,2,ATM Transaction,4
696,200,1777,1,Branch Visit,3
697,291,2635,3,Online Query,5
698,170,28705,4,ATM Transaction,2
699,154,1309,4,Support Call,4
700,37,27260,3,ATM Transaction,2
701,196,8813,5,ATM Transaction,2
702,332,4721,2,Online Query,5
703,365,28466,1,Support Call,4
704,208,27105,2,Branch Visit,5
705,98,29559,4,Online Query,4
706,293,29627,3,ATM Transaction,1
707,340,8164,5,Support Call,1
708,48,1347,2,Online Query,1
709,86,7901,1,Online Query,3
710,359,26425,4,ATM Transaction,4
711,31,26417,4,Branch Visit,5
712,235,10963,5,Support Call,3
713,343,6992,3,Branch Visit,5
714,71,10798,2,ATM Transaction,4
715,161,28898,1,ATM Transaction,4
716,267,24273,4,Online Query,2
717,356,26977,5,ATM Transaction,5
718,216,18530,2,ATM Transaction,5
719,314,24584,1,Online Query,3
720,189,26975,5,Branch Visit,1
721,4,26282,5,Online Query,4
722,27,14031,1,ATM Transaction,1
723,309,15321,3,Online Query,4
724,272,25694,5,Online Query,4
725,28,18135,1,ATM Transaction,2
726,314,20083,1,Online Query,1
727,121,20015,4,Support Call,4
728,145,16233,2,Online Query,1
729,361,5880,4,Branch Visit,4
730,296,15007,2,Support Call,3
731,33,27617,3,Online Query,4
732,105,26641,4,Branch Visit,3
733,356,27389,4,ATM Transaction,2
734,4,5146,5,ATM Transaction,3
735,246,21933,3,Support Call,5
736,172,16853,2,Branch Visit,1
737,359,13992,4,Branch Visit,4
738,192,29918,1,Branch Visit,3
739,12,13003,3,Branch Visit,5
740,235,6394,4,ATM Transaction,4
741,206,3602,2,Support Call,3
742,295,17510,3,Online Query,3
743,357,27713,5,ATM Transaction,5
744,308,27381,3,ATM Transaction,3
745,59,9411,2,Branch Visit,4
746,184,18601,2,Online Query,4
747,36,10440,3,Online Query,2
748,129,3039,1,Online Query,5
749,312,27523,4,Branch Visit,4
750,330,2227,5,Support Call,2
751,348,25772,2,Branch Visit,3
752,56,7052,2,Branch Visit,3
753,43,25928,2,Online Query,2
754,122,22209,1,Online Query,4
755,13,18383,2,Branch Visit,5
756,73,23795,5,Branch Visit,3
757,76,14841,4,Branch Visit,5
758,10,12651,2,Support Call,3
759,194,14395,4,ATM Transaction,1
760,82,7088,1,Support Call,1
761,353,23774,3,Online Query,4
762,338,22151,3,Branch Visit,1
763,353,5721,5,Support Call,3
764,114,296,4,ATM Transaction,1
765,8,10059,4,Branch Visit,2
766,288,9515,2,Online Query,4
767,148,7603,1,Online Query,2
768,106,29876,2,Branch Visit,3
769,184,1962,5,Branch Visit,4
770,334,20528,3,Online Query,3
771,164,25487,1,Online Query,2
772,325,27228,4,Branch Visit,1
773,353,28859,5,ATM Transaction,4
774,313,12909,4,Online Query,5
775,229,13690,1,Support Call,3
776,266,18471,3,ATM Transaction,4
777,332,231,5,Branch Visit,3
778,142,15356,3,Branch Visit,5
779,34,6783,2,ATM Transaction,3
780,107,17255,4,Support Call,3
781,170,20747,4,Support Call,4
782,91,5443,4,ATM Transaction,1
783,327,14426,2,ATM Transaction,4
784,362,27161,3,ATM Transaction,1
785,66,6523,3,Support Call,3
786,3,14393,5,Online Query,4
787,286,1726,4,Support Call,4
788,44,28393,4,Support Call,2
789,334,22606,5,Branch Visit,1
790,160,2788,2,Online Query,4
791,126,9058,3,Support Call,3
792,273,26862,2,Online Query,4
793,51,3,3,ATM Transaction,3
794,59,16956,5,Support Call,3
795,353,8884,4,ATM Transaction,5
796,364,19530,5,Online Query,2
797,295,16787,3,Support Call,4
798,35,14951,5,ATM Transaction,1
799,95,11162,5,Branch Visit,5
800,247,12938,1,Support Call,5
801,121,23093,2,ATM Transaction,5
802,174,26607,1,Online Query,1
803,258,26190,2,Branch Visit,1
804,268,13544,4,Branch Visit,5
805,154,26461,5,ATM Transaction,1
806,184,7365,2,Support Call,5
807,79,1217,2,ATM Transaction,3
808,360,19155,1,Support Call,5
809,129,27010,3,Support Call,3
810,47,22686,5,Support Call,4
