transaction_id,customer_id,txn_date_id,channel_id,account_id,txn_type_id,location_id,currency_id,loan_id,investment_type_id,txn_amount,txn_status
192,71,266,4,8040,10,24614,2,,,94.9,Completed
193,9120,19,4,4809,4,8541,7,18285.0,13.0,89.76,Failed
194,4618,59,2,2538,10,16584,5,23304.0,,108.0,Failed
195,19372,266,1,15559,5,5572,9,,4.0,108.97,Failed
196,19600,128,3,3229,1,10247,5,,6.0,139.31,Pending
197,26699,307,2,18162,4,22597,8,6931.0,,179.53,Failed
198,4288,139,2,9851,7,7321,2,,12.0,49.27,Pending
199,23697,254,4,14451,3,9258,3,,,73.8,Failed
200,28238,33,1,15535,5,5018,3,29239.0,,69.19,Pending
201,15875,86,4,8074,1,15601,4,,5.0,116.94,Failed
202,13614,44,3,7302,8,21496,1,3735.0,,151.05,Failed
203,14560,261,2,28525,3,7450,2,,,86.32,Completed
204,13031,220,5,15468,7,26337,5,,8.0,47.18,Completed
205,24634,125,2,5268,7,4866,9,21752.0,6.0,190.59,Failed
206,8370,150,2,19723,7,12327,9,10867.0,2.0,156.45,Pending
207,24233,41,1,2172,9,5894,4,23510.0,2.0,145.58,Failed
208,18556,167,1,23141,2,28173,8,,,69.46,Completed
209,22446,28,1,11654,4,10665,9,25065.0,4.0,72.9,Completed
210,21981,215,3,5867,1,12432,9,,,387.9,Completed
211,13101,238,5,7721,10,24264,4,,,69.93,Failed
212,23733,16,3,11306,9,12017,4,,,95.86,Pending
213,164,49,3,12567,1,10788,3,18493.0,,271.14,Completed
214,21306,15,3,9793,1,29368,2,,,225.09,Failed
215,3235,169,2,22933,10,1802,7,,,89.34,Failed
216,1686,315,1,19584,10,16954,3,,5.0,117.91,Pending
217,23077,138,3,18992,6,7515,2,2121.0,7.0,119.75,Completed
218,24285,242,2,13331,3,25558,1,,,34.47,Failed
219,21319,204,1,18521,8,15468,6,8795.0,,62.71,Completed
220,1721,264,1,5885,4,26197,9,4229.0,,122.48,Failed
221,12723,85,1,461,1,23476,6,29447.0,,167.66,Failed
222,12799,180,2,24335,7,25949,5,,11.0,117.6,Pending
223,29842,150,2,7317,2,29898,5,,,180.36,Completed
224,22824,101,3,8547,7,2581,6,21037.0,,129.25,Completed
225,15935,71,1,22021,6,22215,5,,4.0,121.27,Pending
226,7466,54,1,1221,9,4728,9,,2.0,153.39,Failed
227,7346,360,3,14624,2,19795,2,21825.0,,77.35,Pending
228,14063,203,4,1235,7,3492,5,23253.0,4.0,77.29,Completed
229,3295,173,5,6357,7,18526,10,14937.0,,44.2,Completed
230,19886,364,2,7386,6,9479,7,,8.0,163.82,Completed
231,23679,184,3,26417,1,28635,2,11384.0,11.0,458.32,Failed
232,21511,215,3,15513,9,26218,6,,,150.39,Pending
233,25568,284,5,16653,2,439,4,,,101.43,Completed
234,10967,283,2,21301,6,751,6,29706.0,,131.89,Completed
235,20105,158,3,15225,2,12927,5,,,180.38,Pending
236,6344,347,3,28586,3,12564,4,,,164.55,Pending
237,19058,261,2,27881,4,27333,9,,,104.73,Failed
238,28585,302,4,12615,7,14147,9,,,190.48,Completed
239,10250,28,1,27442,9,17506,5,1205.0,15.0,159.81,Pending
240,17588,123,5,1383,7,13691,1,9887.0,,55.3,Completed
241,22971,244,5,18858,3,28880,6,,3.0,164.84,Failed
242,10346,100,4,20527,10,6444,10,932.0,,36.48,Pending
243,8630,304,5,6126,8,3163,5,,,107.1,Pending
244,16230,274,4,208,10,25102,4,,,74.88,Pending
245,18530,110,4,11543,8,14067,9,2245.0,,195.27,Completed
246,13787,304,5,8400,5,24533,5,11303.0,7.0,103.23,Completed
247,17319,7,4,21159,3,23392,2,18308.0,,36.79,Pending
248,27746,134,5,28443,7,7299,1,16079.0,3.0,126.08,Failed
249,25829,82,2,2702,1,7896,10,,8.0,289.77,Pending
250,16294,320,1,10563,1,15069,7,,,366.7,Pending
251,17,3,2,10567,7,7223,1,24821.0,15.0,108.74,Failed
252,6776,100,3,29644,6,16501,5,26254.0,6.0,46.12,Pending
253,238,320,4,11903,6,9534,8,16777.0,2.0,100.99,Pending
254,28334,252,4,24248,8,16462,5,,6.0,83.0,Failed
255,16896,336,4,6880,3,16831,8,29181.0,,59.64,Completed
256,21848,126,3,2537,5,3392,7,8838.0,,34.32,Failed
257,16085,237,3,1862,2,23772,7,,,190.83,Failed
258,6509,54,5,9283,9,6727,2,2216.0,2.0,99.26,Pending
259,9947,79,1,25031,9,19143,1,,12.0,157.74,Completed
260,17900,183,5,24011,10,11041,6,7803.0,,60.32,Failed
261,20323,149,4,3228,1,13798,9,,,191.64,Completed
262,13269,207,5,16058,7,10998,3,,,159.82,Failed
263,29111,43,4,13724,10,4565,8,,,116.99,Pending
264,29046,289,2,8195,3,2857,3,5944.0,9.0,80.83,Pending
265,2307,279,2,21185,8,936,7,18245.0,2.0,149.76,Failed
266,11110,170,2,10470,7,17528,10,15564.0,,169.81,Pending
267,11610,335,5,5968,3,10732,7,,13.0,138.96,Failed
268,24980,249,4,24170,4,9926,8,16896.0,13.0,143.23,Failed
269,23931,324,2,3579,2,2350,1,10778.0,13.0,63.45,Pending
270,22723,54,1,28257,6,29703,9,,,99.06,Failed
271,15508,275,5,2129,9,1520,9,,3.0,136.46,Pending
272,19199,197,2,17154,1,13591,9,,2.0,126.32,Pending
273,21028,240,2,28921,3,16506,4,2668.0,15.0,166.22,Pending
274,21173,142,4,19124,6,5815,9,,7.0,149.68,Pending
275,26988,17,3,16676,5,18339,1,,,78.63,Pending
276,25669,358,1,27024,7,21998,6,,,185.6,Pending
277,7055,137,5,27705,2,5880,10,8130.0,,65.98,Failed
278,17829,94,3,12745,3,4804,8,6756.0,15.0,66.4,Completed
279,17973,225,4,27671,5,677,2,,,113.31,Completed
280,9613,133,4,11868,7,8871,9,,,78.66,Completed
281,19957,230,1,13445,5,28143,10,10815.0,,142.83,Pending
282,18256,283,1,23723,1,18168,5,24132.0,3.0,101.72,Failed
283,1630,356,4,13522,8,6793,9,,9.0,74.51,Pending
284,27817,3,5,25656,4,19630,3,22334.0,11.0,82.61,Completed
285,17423,60,3,28384,4,5434,1,3105.0,6.0,165.92,Failed
286,11438,16,2,15850,9,7909,4,,,109.31,Completed
287,4184,118,5,25146,6,8474,7,23223.0,,102.61,Pending
288,9499,285,3,13120,2,3584,7,,,23.92,Failed
289,3700,129,3,16297,8,1097,9,,5.0,135.0,Completed
290,26095,45,5,19893,8,12097,5,,,73.84,Completed
291,26333,170,3,28419,1,545,1,2267.0,8.0,200.34,Failed
292,21813,241,1,27219,10,24551,9,,6.0,93.34,Failed
293,29205,24,5,5337,9,4679,5,,3.0,52.02,Pending
294,5214,93,4,389,9,53,3,,,77.22,Failed
295,19796,363,1,9733,2,5878,5,,,71.53,Failed
296,425,346,2,12665,10,8518,4,6245.0,,32.85,Completed
297,22030,254,5,14085,9,24532,4,,3.0,83.9,Completed
298,1568,330,3,18430,7,19413,1,2864.0,,30.95,Pending
299,12898,243,4,26206,7,23577,10,,,46.06,Completed
300,21551,362,1,27800,6,1618,8,,,30.39,Failed
301,1648,210,4,18665,3,3350,2,18221.0,11.0,110.21,Pending
302,23851,328,4,28215,4,16933,3,,11.0,112.34,Completed
303,2081,27,1,6813,4,24300,5,8381.0,,132.33,Completed
304,26410,190,5,22824,5,13298,1,25208.0,13.0,67.6,Pending
305,6077,69,2,16983,8,8448,6,15738.0,,54.81,Completed
306,7051,46,2,11810,2,22773,10,,,81.94,Completed
307,2967,320,1,9953,2,24887,4,,10.0,173.3,Pending
308,18626,108,5,11508,7,3111,4,,,40.16,Pending
309,18500,73,1,392,8,9160,4,25981.0,,132.24,Completed
310,29975,80,5,24186,4,21933,10,20016.0,8.0,16.46,Failed
311,23583,333,3,25877,9,4339,8,8766.0,8.0,80.32,Failed
312,1913,145,4,14586,7,29999,10,9888.0,,196.98,Pending
313,7506,364,1,27907,6,7768,1,1727.0,2.0,72.79,Failed
314,14314,313,2,26497,3,26902,1,,5.0,64.14,Failed
315,5090,43,5,9311,9,25552,9,,,12.68,Completed
316,15893,185,3,6214,9,14348,10,14247.0,15.0,100.39,Pending
317,4715,254,2,23956,10,25433,7,14718.0,4.0,104.44,Pending
318,20313,188,4,17043,8,22023,3,,14.0,99.67,Failed
319,9030,245,4,13659,10,28571,7,,,52.46,Completed
320,3983,214,1,5586,3,28723,8,,,30.42,Completed
321,24017,143,1,28545,2,23496,5,11248.0,,12.33,Pending
322,11465,23,2,14014,7,4798,6,1545.0,11.0,41.53,Completed
323,25706,9,2,18628,4,18904,10,20016.0,,143.63,Pending
324,1783,40,3,23687,9,15802,8,2254.0,8.0,11.98,Pending
325,9075,184,5,17646,5,21992,9,20382.0,12.0,84.48,Failed
326,11970,361,4,23067,5,2025,4,,,165.95,Pending
327,1980,46,4,18080,10,24828,9,18703.0,,142.66,Failed
328,17834,238,2,13181,3,13413,1,,,84.8,Pending
329,6418,196,1,3002,2,15735,10,,10.0,52.89,Failed
330,20192,200,2,5508,8,22978,9,21154.0,4.0,80.27,Failed
331,18637,208,3,17381,1,18202,1,21558.0,,341.92,Failed
332,6333,338,5,2619,1,13733,1,20157.0,,308.44,Pending
333,7828,63,2,7202,3,14331,9,,,94.47,Failed
334,21949,160,4,11066,3,20664,5,21311.0,9.0,101.96,Failed
335,28056,182,3,25330,4,20813,2,15719.0,10.0,25.33,Pending
336,21427,74,4,23534,2,12732,5,,,24.92,Failed
337,27446,298,2,28450,1,7549,7,,,263.72,Completed
338,24286,80,1,20346,3,10579,7,,3.0,178.56,Completed
339,24602,76,1,7002,3,3762,2,6299.0,2.0,114.2,Completed
340,13473,29,1,3363,6,17109,6,,,64.35,Pending
341,18478,352,2,29816,7,4001,10,,15.0,49.32,Completed
342,14401,93,4,22341,6,26273,5,,3.0,191.33,Completed
343,24746,68,2,24460,5,26487,2,,,187.97,Failed
344,11457,314,3,20739,6,4358,5,,2.0,136.73,Pending
345,27699,100,1,13974,5,20244,8,11947.0,,173.29,Completed
346,19691,172,1,25216,5,13999,2,16196.0,,50.18,Completed
347,18698,153,4,7680,3,26024,8,19264.0,,53.53,Pending
348,5959,237,3,27186,1,19554,2,,14.0,441.39,Pending
349,17441,251,5,11201,10,23179,7,15064.0,,30.64,Failed
350,24847,160,2,29197,1,13259,2,,,257.91,Pending
351,4006,99,1,7230,3,29996,5,,,192.99,Completed
352,4785,303,2,12708,10,15777,4,,,117.62,Pending
353,11432,165,2,22303,9,22204,9,,12.0,175.29,Failed
354,14667,102,3,19338,2,19598,6,,,168.85,Failed
355,27215,229,3,7157,3,19323,8,,1.0,109.36,Pending
356,9282,129,1,27811,3,17006,5,,,150.89,Pending
357,21909,145,4,27759,9,23132,10,8590.0,,24.31,Completed
358,7130,49,2,2068,7,2662,4,8803.0,11.0,36.02,Failed
359,6383,273,2,18936,10,22476,2,29768.0,10.0,41.94,Completed
360,25008,242,2,14415,1,26622,8,,,298.35,Pending
361,14840,165,1,23279,3,15729,5,,,172.3,Completed
362,13382,103,4,28330,5,11952,6,,,115.24,Failed
363,26421,259,3,25594,10,16783,3,8540.0,,49.71,Pending
364,27807,276,5,25619,6,6116,2,23892.0,,163.68,Failed
365,24373,291,1,21621,7,29686,9,,,28.58,Failed
366,16419,23,4,18588,2,20313,4,,,178.57,Completed
367,25927,301,4,13247,4,22193,2,,6.0,180.14,Completed
368,27588,223,2,19030,9,19174,2,17376.0,10.0,109.6,Completed
369,22086,239,4,28573,10,10858,3,,14.0,89.18,Pending
370,12403,211,4,6297,5,9624,10,28817.0,4.0,190.04,Pending
371,19079,208,4,25894,2,26875,10,,3.0,10.92,Pending
372,8996,219,4,7437,1,2591,5,,14.0,138.6,Completed
373,1693,77,1,26146,2,15084,8,20398.0,14.0,165.05,Completed
374,12978,338,4,20990,10,12761,9,6081.0,6.0,75.79,Failed
375,23047,356,4,26158,6,11097,5,15638.0,,150.61,Pending
376,5469,275,5,8828,10,6303,4,8039.0,,48.21,Completed
377,24995,240,2,4816,9,24037,7,14292.0,,61.55,Pending
378,1475,41,3,27746,4,24117,3,,2.0,31.5,Failed
379,28613,157,5,12289,5,26246,6,26237.0,11.0,13.41,Completed
380,24188,84,2,11113,3,20276,8,,10.0,77.56,Failed
381,4480,67,2,26982,9,7575,1,,,149.78,Pending
382,16484,135,2,12290,4,12639,6,22547.0,7.0,153.23,Pending
383,22909,158,2,13195,8,20665,7,3646.0,4.0,31.31,Failed
384,17675,169,1,16838,10,2119,6,,6.0,82.57,Completed
385,7711,351,5,24387,1,10900,2,,,198.06,Pending
386,3259,226,5,24716,8,9859,3,11395.0,,149.05,Failed
387,18416,344,2,6591,1,24793,2,29561.0,,119.13,Failed
388,22277,158,3,22351,2,28082,7,,11.0,110.47,Completed
389,7291,365,5,14338,3,6054,4,,,142.07,Failed
390,4565,34,2,2767,4,19910,5,22976.0,4.0,57.82,Failed
391,12461,194,1,26111,1,15635,4,,4.0,241.84,Completed
392,15970,361,4,5217,5,2307,1,,9.0,193.29,Pending
393,17246,119,5,18248,5,29349,2,8662.0,8.0,111.09,Failed
394,14071,48,4,10143,6,9794,10,,9.0,38.15,Pending
395,14741,283,3,6986,6,27112,7,,14.0,71.9,Completed
396,4271,166,2,19822,7,13452,4,,5.0,54.25,Pending
397,28292,177,2,14135,8,22335,7,81.0,,153.83,Completed
398,6747,184,3,16673,4,21026,6,,,74.3,Failed
399,15598,310,2,7406,3,2139,1,1645.0,,129.18,Completed
400,23041,7,1,20307,4,23097,3,28726.0,6.0,171.07,Completed
401,122,33,5,835,10,20213,1,5598.0,9.0,136.67,Pending
402,5107,169,2,16827,1,12245,4,,3.0,105.71,Completed
403,22944,312,3,3368,10,23950,2,14842.0,,160.01,Pending
404,5540,222,4,27891,9,9838,1,,,198.16,Completed
405,29029,316,3,22578,5,29446,3,,,22.36,Pending
406,23067,167,1,3400,10,20769,5,18126.0,15.0,69.6,Completed
407,26779,10,3,17409,8,1230,5,,,152.55,Failed
408,26080,37,3,2999,1,16127,9,,,433.77,Failed
409,28917,60,5,24551,5,25467,9,14191.0,10.0,51.55,Failed
410,4053,178,5,25052,7,7116,7,,,110.98,Failed
411,25111,19,4,27246,6,7549,2,,,94.91,Failed
412,2631,28,2,205,7,20335,7,,,198.55,Completed
413,21890,130,4,298,7,18842,10,,,58.45,Pending
414,18949,312,3,4307,2,27312,5,11283.0,,118.94,Completed
415,14205,103,1,26378,10,3711,3,,2.0,194.15,Completed
416,12785,315,4,20079,10,27547,2,,,72.37,Completed
417,7079,336,3,16945,3,13437,2,23234.0,2.0,23.3,Pending
418,25050,363,2,1524,9,7923,1,,4.0,104.56,Completed
419,21380,335,5,11971,9,13724,4,,10.0,130.14,Failed
420,27320,126,5,27425,6,28006,5,,7.0,175.21,Completed
421,28985,313,5,22183,4,19730,6,21019.0,7.0,139.18,Pending
422,1303,335,2,2670,1,6362,9,,,189.35,Failed
423,258,101,4,19509,3,24753,4,8834.0,,26.98,Pending
424,3735,343,5,9665,3,8193,1,,,55.22,Failed
425,1874,30,3,18904,1,18989,5,,,371.95,Completed
426,27193,10,2,27391,2,25177,3,,,71.94,Completed
427,11054,318,5,26997,4,3761,3,,6.0,130.65,Completed
428,22407,238,5,18419,3,7478,10,4479.0,,116.64,Failed
429,23382,244,2,16049,8,2635,9,,8.0,113.02,Failed
430,20313,183,4,8176,9,29726,5,3000.0,3.0,158.93,Failed
431,22206,9,2,25640,7,24606,2,,,146.38,Failed
