investment_id,date_id,investment_type_id,account_id,amount_invested,investment_return
140,286,13,17278,8057.02,982.3
141,193,14,3612,8181.2,766.86
142,195,1,28064,331.94,716.69
143,227,5,10923,2185.25,236.77
144,56,9,21933,8254.44,473.74
145,344,4,13140,7322.58,
146,309,7,27824,490.58,547.59
147,152,14,28283,9713.53,
148,364,5,9244,572.41,68.21
149,151,10,20880,8309.48,
150,334,8,26627,8862.4,
151,306,7,21232,3708.6,
152,113,1,14656,7629.16,970.07
153,286,14,18337,8719.0,577.51
154,235,11,3297,7523.94,428.51
155,62,13,6723,2085.5,868.63
156,20,15,11643,2760.71,
157,98,4,21738,6158.02,828.45
158,75,3,11407,8323.12,946.9
159,192,6,5794,2876.31,648.24
160,215,3,19157,2956.77,
161,80,9,10750,547.17,
162,361,13,23317,4442.78,63.52
163,274,2,8930,1352.7,
164,242,4,29391,8766.17,965.65
165,354,9,2755,1607.95,
166,109,4,1159,5460.72,245.81
167,307,14,7127,4121.45,209.94
168,304,12,13325,4537.97,333.41
169,195,11,20226,4278.81,717.38
170,182,9,13967,6921.92,275.41
171,355,7,4404,7910.4,905.03
172,255,11,21848,3204.41,407.9
173,295,5,19990,3484.12,
174,223,8,6094,8464.88,506.79
175,147,6,23007,8638.78,674.74
176,63,13,25714,4468.3,639.16
177,94,6,26264,5445.41,
178,278,15,8444,1108.82,
179,88,15,10890,7615.56,220.9
180,85,3,12345,3304.08,
181,344,14,7311,4022.72,
182,326,6,3499,2722.5,503.37
183,244,4,14705,9220.59,494.97
184,209,5,24288,5886.9,
185,252,5,1624,808.1,
186,357,1,10752,2355.43,
187,148,6,12535,2400.69,
188,331,14,12276,7147.69,
189,24,1,18733,8817.11,188.04
190,299,7,10496,8644.71,
191,218,10,21628,3455.59,17.64
192,126,10,4102,2683.88,91.87
193,122,5,15795,6031.54,670.15
194,260,15,26560,8839.49,452.6
195,351,7,7197,3851.21,992.43
196,272,1,28962,9541.04,
197,9,15,11543,936.5,
198,91,9,4975,4077.91,208.42
199,18,1,15366,6163.55,582.92
200,347,9,24187,4444.27,177.08
201,365,9,3359,4728.61,650.31
202,319,7,17510,2368.29,467.45
203,155,15,12150,4805.95,
204,292,15,9367,7449.16,
205,277,6,3155,1533.41,302.05
206,96,8,8904,2793.27,831.63
207,234,7,24480,3584.06,513.75
208,9,12,11175,8516.24,
209,277,13,5440,1113.97,287.61
210,192,15,7339,1786.28,719.35
211,299,15,29127,5790.62,797.48
212,127,7,18522,2477.35,845.9
213,173,1,2269,4348.18,611.06
214,270,1,19173,297.07,
215,36,15,19784,6571.05,348.02
216,33,2,17170,1632.75,48.18
217,266,12,23048,7330.37,317.58
218,225,5,5227,2876.02,587.03
219,358,13,19202,4213.79,278.7
220,71,13,362,5188.5,
221,141,12,29798,1959.71,
222,282,4,17480,8157.34,369.68
223,127,5,4932,9941.77,
224,4,11,29847,9556.95,711.31
225,152,10,1234,4666.23,
226,83,10,14756,412.96,908.12
227,221,7,17020,6011.52,
228,16,7,29741,5913.03,
229,87,6,16899,6897.04,
230,78,13,10509,875.9,
231,327,10,12475,5042.28,437.98
232,196,12,121,9111.53,995.12
233,226,6,8538,805.98,
234,54,15,19706,4811.95,173.16
235,235,10,12578,5529.58,
236,105,10,177,1337.93,789.21
237,42,3,15406,3732.39,
238,317,7,10057,3704.33,333.13
239,99,7,7280,1141.64,548.69
240,71,13,11082,8576.18,681.21
241,98,2,7183,1455.91,
242,171,9,24345,7700.49,514.71
243,27,14,7962,2547.53,
244,361,8,18347,4264.93,90.1
245,284,11,6392,6735.0,160.25
246,54,2,11727,8505.37,536.89
247,362,14,22516,5380.98,
248,63,4,26941,4451.2,866.47
249,215,15,2965,8558.72,
250,289,11,8652,7654.54,885.04
251,340,6,21159,6832.13,
252,207,3,17290,8014.53,
253,255,11,24994,5912.06,
254,151,9,695,3295.69,
255,243,9,16651,8306.41,
256,114,3,5545,8406.76,
257,217,6,25079,6335.54,
258,150,10,27526,2494.14,
259,140,11,17774,9647.6,
260,9,2,19337,1477.33,985.32
261,338,3,128,7341.88,156.57
262,246,11,8345,1797.45,304.32
263,142,5,7800,6877.96,485.89
264,146,15,2872,5740.8,
265,327,3,16261,3744.87,165.83
266,326,11,2523,4359.29,391.56
267,200,3,6297,7680.59,
268,339,13,4333,1305.24,
269,16,12,5578,9284.61,99.23
270,78,3,11590,4845.37,770.7
271,349,7,18939,9342.23,473.47
272,174,2,10215,4182.72,426.63
273,235,2,3877,3191.08,49.81
274,6,15,10086,8504.18,
275,364,13,7190,6492.82,847.54
276,5,4,24862,9146.74,
277,66,8,16226,764.17,
278,88,4,5303,4754.33,157.04
279,357,6,15955,6280.29,
280,107,2,10634,8500.96,583.44
281,108,12,13760,2375.71,527.24
282,91,7,29918,8345.79,422.72
283,282,7,16734,4853.43,48.08
284,147,13,28890,5166.05,968.79
285,142,2,16680,3328.81,
286,245,15,8706,8122.56,671.0
287,190,10,2325,2376.31,
288,257,10,21934,5231.39,
289,160,10,17477,7456.98,511.48
290,76,14,6173,2245.19,571.53
291,310,15,29357,6522.38,
292,297,5,27047,5182.55,856.53
293,130,14,11049,2284.23,
294,171,9,9555,5661.74,260.97
295,344,11,17374,4736.89,
296,314,7,21842,788.95,
297,178,14,3433,9357.55,69.17
298,330,4,29009,8545.84,
299,134,8,15783,2129.38,
300,1,8,20753,9390.37,
301,163,15,11832,871.34,909.62
302,177,4,15105,6843.9,640.22
303,191,8,8744,9592.87,466.49
304,51,12,18217,5942.14,
305,298,4,18647,3308.79,
306,324,1,4712,475.47,982.67
307,333,10,700,4571.76,
308,334,2,15475,6000.56,
309,336,4,15775,846.93,167.76
310,364,3,27749,1196.17,769.61
311,203,6,9086,8492.99,
312,53,8,26507,4182.2,
313,44,13,12457,1253.92,610.21
314,132,10,22671,1971.08,650.39
315,179,8,10818,3071.85,
316,66,7,16762,4461.78,
317,254,12,11458,3269.22,808.98
318,283,10,6340,1387.55,728.69
319,37,4,7860,5076.68,991.86
320,12,1,12338,2596.97,186.12
321,215,4,23845,1611.72,
322,348,2,16668,9363.77,
323,129,3,25694,203.82,
324,43,13,29530,7442.6,448.64
325,94,2,7774,3833.94,801.44
326,20,14,5892,3299.75,661.96
327,16,10,3185,7900.74,
328,319,1,13801,6168.97,
329,146,7,24220,5475.88,
330,359,11,25001,6347.93,437.15
331,94,14,2054,9053.96,
332,248,3,24042,1872.2,871.74
333,10,14,12486,9627.99,215.68
334,313,7,10073,3273.74,982.38
335,344,15,21695,1172.04,197.19
336,309,6,26064,1961.24,
337,245,5,27701,7813.58,
338,195,14,3260,2125.92,56.32
339,362,12,22747,7287.22,
340,262,6,23517,3678.03,783.62
341,259,9,2184,8203.48,866.33
342,237,6,6897,769.29,
343,28,1,15878,4012.45,
344,210,12,12930,5960.22,
345,219,4,23949,3705.45,
346,207,4,5109,636.37,
347,159,8,19441,4914.68,409.8
348,251,15,7786,636.8,707.58
349,149,2,4701,5421.92,783.99
350,34,12,13114,9760.32,599.91
351,21,12,20466,2699.64,
352,242,1,18841,7776.69,529.06
353,13,12,19834,1458.61,
354,263,3,1308,3113.33,693.05
355,181,4,13855,8945.63,548.59
356,191,6,23699,607.47,
357,246,12,16017,4331.73,907.42
358,199,10,20921,6838.46,845.5
359,207,13,8267,2782.22,346.02
360,152,5,2285,716.97,
361,253,2,24748,1143.76,6.32
362,164,1,7853,2470.23,928.95
363,260,1,14525,8969.21,
364,75,1,18413,5508.27,140.21
365,90,8,28557,5252.81,
366,103,8,20659,9918.69,459.81
367,77,7,14868,979.52,415.41
368,253,7,1933,9491.65,
369,87,6,18304,2162.85,423.06
370,134,1,2927,9882.11,
371,250,12,9396,4581.34,
372,254,1,9063,7824.72,926.3
373,199,15,18410,5146.06,417.52
374,285,1,20444,6429.71,
375,267,6,13658,5153.69,
376,300,9,5320,6719.86,103.5
377,86,3,10560,6789.25,
378,352,10,27089,2873.16,558.67
379,335,6,11691,9812.15,64.51
380,301,14,10412,665.11,269.12
381,192,5,14082,5699.56,
382,331,5,7749,8285.53,
383,9,15,20,6830.57,
384,311,2,10459,3487.47,
385,321,5,15616,4949.32,
386,136,1,22698,1038.29,
387,124,9,13466,2690.15,
388,166,2,14772,7733.25,
389,172,4,26020,4666.87,398.41
390,292,13,7683,4817.86,940.23
391,200,12,9163,7199.25,973.94
392,303,12,28106,630.24,
393,30,10,27771,1713.97,
394,321,4,18585,5442.42,
395,249,9,17597,4128.34,
396,103,11,14049,1509.13,
397,230,4,18004,7029.87,693.66
398,128,6,19551,7767.98,
399,291,8,5099,2822.65,80.42
400,247,3,9131,9799.67,994.28
401,193,11,16628,854.99,
402,165,10,10622,364.64,912.28
403,308,4,7486,9274.63,237.33
404,65,12,26486,9378.3,535.19
405,293,12,15426,4024.72,
406,112,11,19583,6229.52,
407,64,1,594,7474.14,
408,110,13,21757,8369.17,833.4
409,102,7,9100,7458.37,572.46
410,151,8,13016,5449.26,
411,340,6,2138,3863.42,
412,180,4,17449,5645.83,21.69
413,81,4,21366,8076.75,
414,46,7,24857,9500.52,51.68
415,282,7,27248,146.73,
416,31,6,4933,6104.45,
417,164,11,15430,950.83,
418,51,4,4842,332.62,
419,330,15,8514,5471.47,658.34
420,332,5,15546,8062.41,
421,123,5,14722,5787.24,
422,99,4,22059,710.63,
423,223,2,27463,6965.53,
424,114,9,25366,6365.65,
425,40,4,21366,5299.81,
426,299,14,20827,9296.79,447.18
427,308,9,25105,5893.33,
428,172,8,5514,9108.99,282.02
429,278,8,16580,2566.1,154.44
430,263,3,4057,1010.3,
431,326,1,13046,4040.78,
432,92,1,16734,4615.41,
433,201,14,17687,431.92,
434,350,3,27556,3582.32,515.27
435,108,2,9628,5662.07,367.17
436,108,9,28132,4824.9,
437,302,6,6563,2723.64,
438,131,3,15154,1851.36,680.95
439,37,9,11853,991.37,18.72
440,300,9,20904,6010.44,100.34
441,135,4,19553,6617.35,715.09
442,20,12,28836,1726.87,
443,50,10,5670,6040.61,638.05
444,231,11,6779,5996.12,325.24
445,108,6,17907,608.42,816.12
446,202,13,21194,7188.59,209.84
447,120,12,8960,1224.3,
448,9,8,14616,5929.56,
449,191,1,25298,4895.53,344.51
450,187,14,4198,6080.27,
451,339,14,24077,7271.54,
452,1,6,10766,6169.41,634.56
453,139,9,9606,6757.1,228.74
454,135,11,24231,2866.25,534.43
455,280,7,19090,794.88,652.49
456,110,10,16613,5438.52,
457,152,2,22131,3352.46,
458,261,6,19147,7492.81,609.09
459,19,15,5584,3315.8,
460,17,1,23781,2778.29,963.28
461,38,1,14477,8522.8,
462,72,6,4587,6603.03,22.15
463,338,2,22577,6292.87,
464,190,13,11085,2350.69,237.95
465,115,9,3389,9697.49,
466,242,7,26333,9545.95,
467,17,14,21424,7593.9,
468,69,6,13807,6183.07,716.21
469,203,10,8793,5011.98,968.75
470,309,6,5747,3651.5,744.31
471,167,1,22871,7790.6,
472,300,12,7493,6944.36,
473,233,1,5542,5326.88,141.22
474,361,13,25994,6839.93,899.68
475,303,6,28023,2337.75,286.94
476,339,11,13865,2388.81,
477,149,5,20756,2514.39,536.45
478,333,8,15045,4608.39,598.7
479,265,1,12662,8574.22,
480,18,15,23228,2958.0,253.56
481,41,7,24821,5479.16,
482,232,11,10213,4154.92,889.65
483,15,11,22248,9134.27,901.86
484,189,6,188,5499.64,
485,232,1,5592,775.07,
486,265,3,10749,2317.38,473.05
487,37,15,13385,3266.07,833.81
488,214,8,2907,4318.06,418.99
489,94,13,26032,6382.73,920.13
490,352,13,19387,9571.91,
491,231,14,3654,4515.78,141.16
492,163,8,3625,1125.8,
493,206,3,14401,6838.64,524.0
494,168,12,29713,4338.34,
495,344,6,5330,6193.11,
496,244,3,3278,8859.15,966.22
497,94,4,13596,9609.58,
498,337,9,5902,3535.75,
499,245,7,20088,1867.44,684.03
500,76,6,6569,4971.17,
501,298,7,20964,8482.98,
502,102,7,24804,6502.2,
503,72,15,17718,1271.99,
504,241,11,24228,3074.77,
505,305,9,22365,4676.59,
506,333,2,15278,4731.67,627.3
507,117,8,22998,3764.34,38.5
508,179,1,5680,8965.33,
509,8,9,17278,5909.33,
510,177,3,13072,8930.29,
511,124,11,19127,5341.71,
512,231,13,3937,1147.92,
513,146,5,18136,8695.1,682.65
514,67,2,4516,4767.59,303.52
515,162,13,18520,957.21,
516,118,3,173,8522.72,
517,220,1,29676,9635.98,766.25
518,168,5,6034,6511.57,879.1
519,347,4,21560,1450.33,
520,230,12,27960,4745.56,
521,145,6,4675,7887.05,984.78
522,44,11,22250,6219.76,24.53
523,136,2,9083,1257.65,31.92
524,112,6,16912,2495.16,
525,8,4,23835,2349.67,
526,259,14,17276,1572.32,265.84
527,231,8,1957,508.01,638.71
528,86,1,18448,6287.99,
529,91,4,12719,7242.94,
530,74,7,142,6443.21,
531,62,2,10229,4376.48,962.43
532,43,6,22697,7387.45,
533,228,12,12826,9214.59,
534,247,14,26943,4235.28,
535,258,7,10446,4474.14,92.32
536,357,13,21683,5181.12,167.78
537,342,12,11558,7813.39,
538,316,12,19580,5239.86,
539,256,12,18867,5323.11,
540,11,6,15865,5225.55,462.48
541,105,8,12079,318.08,986.92
542,135,14,16953,7735.08,
543,138,2,13548,1246.62,
544,205,3,17586,8478.87,
545,233,3,567,6829.41,833.44
546,238,15,16480,3047.37,
547,304,7,3314,1729.22,
548,318,12,13911,2310.39,
549,334,12,11570,1008.54,
550,18,1,6067,1663.52,
551,10,9,23012,7351.48,
552,172,3,8916,3514.18,
553,359,10,4649,2346.23,61.76
554,83,2,6808,1601.46,
555,132,11,27093,6489.26,
556,134,5,25323,8036.2,631.97
557,229,7,7587,3803.04,
558,48,7,25153,5889.61,302.09
559,26,11,24043,5757.16,
560,241,4,24435,2636.35,306.77
561,154,6,18265,2136.77,985.05
562,211,10,24833,8464.99,198.03
563,50,3,13948,9097.6,56.12
564,124,3,20762,2186.91,
565,100,1,24040,1972.24,
566,152,2,1767,1609.22,
567,297,14,14421,653.42,580.44
568,123,13,15762,9402.92,198.2
569,240,12,8940,673.84,544.01
570,21,11,15916,6674.78,688.9
571,40,9,12932,1430.97,377.52
572,267,15,25877,3228.21,47.27
573,103,1,1243,5747.13,
574,93,13,1532,9525.13,391.14
575,150,1,15768,1018.63,301.07
576,209,2,28510,3638.66,946.28
577,145,10,3171,4641.11,769.11
578,328,7,6068,8809.54,
579,295,2,24843,5833.33,
580,31,8,20922,1691.24,874.95
581,328,12,26508,6578.69,
582,196,7,5767,5935.51,428.55
583,321,8,6961,7008.45,
584,7,4,4681,4801.19,424.68
585,109,6,1895,134.58,208.36
586,150,1,784,4220.32,
587,195,4,14127,2460.02,794.55
588,302,7,12680,917.07,382.11
589,346,7,21686,5844.05,
590,99,11,22580,5863.33,
591,99,5,20799,4253.48,
592,37,14,2627,1747.54,
593,185,3,14927,3572.33,930.69
594,20,15,23180,593.79,72.53
595,104,11,5798,5751.67,
596,255,7,8589,9023.97,867.28
597,83,11,10497,6854.19,221.53
598,212,8,2110,3027.54,
599,168,1,20352,6007.68,229.65
600,51,13,5425,2987.45,979.28
601,54,2,11278,9616.38,
602,351,7,20109,2774.65,
603,315,13,13330,6459.77,227.64
604,134,13,16619,6637.9,814.18
605,12,11,28861,1941.62,
606,150,1,19327,6683.92,719.41
607,109,1,9023,8136.57,785.34
608,3,4,29549,6879.46,
609,185,8,12496,3817.7,
610,200,2,19817,5451.42,804.09
611,205,12,21045,3351.06,154.97
612,284,2,28288,399.29,325.76
613,209,5,23076,7835.46,171.36
614,22,4,4082,1909.07,161.57
615,351,5,21304,776.6,853.76
616,283,4,16020,6400.6,
617,37,4,4570,3445.43,793.45
618,362,12,18842,8382.7,
619,163,4,18420,9254.89,501.57
620,273,12,22645,4962.62,302.72
621,105,7,27258,1833.34,
622,183,8,6534,6537.2,
623,148,4,27757,6479.61,412.0
624,172,5,5263,1427.21,
625,191,8,19133,577.03,110.57
626,110,7,28926,4279.07,38.79
627,307,7,8759,565.97,
628,132,11,17183,1984.62,
629,45,1,2654,4433.41,243.49
630,52,6,3803,8647.59,801.87
631,265,5,17734,9890.58,367.11
632,228,15,16569,8516.85,
633,239,6,9702,9525.33,625.16
634,44,4,5206,2832.95,279.6
635,325,15,2445,4395.81,
636,37,7,5046,5459.5,244.87
637,223,12,12153,3482.74,
638,71,2,15041,6335.27,811.42
639,131,10,25544,8522.75,547.29
640,9,12,23916,9845.89,
641,310,12,24544,2668.24,
642,207,3,21869,4338.36,
643,153,3,12685,6371.05,
644,136,10,23350,8450.69,
645,313,2,21155,4815.36,789.58
646,35,9,10752,2304.65,296.65
647,346,1,1984,5073.49,
648,327,4,9688,4138.63,143.14
649,49,9,23482,1809.54,
650,123,15,14155,926.6,
651,9,12,18569,4652.62,
652,351,14,27638,720.84,589.66
653,103,2,15942,1462.84,
654,302,13,11861,5347.61,
655,124,2,17751,5726.83,242.99
656,161,3,9984,2570.22,
657,124,2,690,5762.5,
658,123,15,13704,1510.52,
659,64,7,22398,6529.51,144.05
660,252,2,13504,4495.87,906.01
661,185,10,5260,6083.41,221.83
662,293,10,19597,5881.9,
663,284,8,999,7756.65,700.97
664,151,2,27824,5112.06,525.35
665,36,8,1513,7351.45,
666,78,15,19940,1034.84,
667,251,11,21697,4989.14,17.01
668,256,11,18281,2296.6,
669,102,7,27612,7771.56,808.65
670,342,3,1672,3674.86,604.44
671,46,14,20729,6677.92,886.23
672,112,1,7519,3438.51,
673,25,7,7370,7066.12,237.51
674,90,8,27578,576.2,829.93
675,13,14,19468,7078.16,638.43
676,177,2,14369,4259.46,
677,100,14,17952,6913.06,
678,123,4,11692,2790.95,
679,93,12,4950,7692.82,960.2
680,356,12,16450,9992.59,291.53
681,306,15,766,225.25,100.23
682,41,13,9234,3902.94,715.15
683,175,1,24585,5297.06,151.66
684,108,4,17524,6418.58,
685,22,11,5270,6294.58,
686,262,6,20244,1265.41,
687,347,14,25637,345.82,
688,225,7,22229,8926.41,147.11
689,132,11,29611,4387.57,751.05
690,281,13,17317,4593.44,
691,4,13,11652,430.04,
692,69,7,19984,3814.13,
693,14,15,27250,4364.11,508.8
694,123,13,4230,2318.79,357.23
695,330,15,14643,1191.89,86.84
696,288,3,22933,7591.53,
697,6,10,25669,2010.56,988.53
698,96,15,26482,258.3,509.49
699,167,6,15873,371.29,947.49
700,215,2,27333,633.38,166.61
701,244,7,16606,8119.92,
702,71,10,6903,8588.28,
703,141,5,16441,3068.07,752.11
704,130,2,12401,525.89,427.77
705,99,10,14189,5893.76,
706,74,2,9675,9847.47,45.02
707,157,4,6442,8841.89,56.71
708,326,5,17207,780.33,280.6
709,203,13,8952,7608.44,472.27
710,234,6,16328,2631.92,
711,235,2,24614,5124.32,948.76
712,44,13,23962,1496.69,776.38
713,85,7,25692,8247.75,537.03
714,101,4,11206,9150.0,
715,343,3,1694,5389.91,
716,201,4,15332,1294.47,
717,316,9,22174,1890.13,
718,171,5,8214,9341.11,927.4
719,232,5,27988,9853.38,
720,193,7,9637,8012.32,48.78
721,279,1,21464,8777.66,675.15
722,11,8,23209,9728.89,971.22
723,102,6,6582,7746.6,
724,58,1,25189,9977.89,294.22
725,277,13,2234,4693.32,
726,47,13,6886,4764.51,665.92
727,161,3,2942,8501.83,416.07
728,90,4,1911,6721.02,41.57
729,174,2,1096,6283.89,179.34
730,347,4,25295,6857.3,
731,63,12,19002,733.04,
732,85,2,27505,593.71,817.41
733,333,3,20952,8246.88,63.48
734,137,13,27622,4745.87,
735,280,9,27937,8754.61,61.23
736,337,10,20892,7194.77,125.78
737,149,4,2742,6446.75,
738,271,15,8268,2879.98,392.9
739,76,7,14324,6923.24,
740,73,8,4313,2045.39,441.48
741,262,14,21234,1441.82,
742,262,2,28096,744.99,962.47
743,272,12,18678,1734.12,
744,169,11,8435,6823.81,274.08
745,100,8,17870,2735.69,98.61
746,234,5,22761,4333.6,283.24
747,335,15,7756,7162.97,578.1
748,117,5,13588,1619.84,
749,31,9,13580,2517.32,
750,92,15,15528,9408.65,157.37
751,257,3,16860,180.11,
752,190,13,19746,2698.27,689.92
753,139,13,9470,5999.24,215.72
754,356,9,15722,1947.59,
755,61,12,24049,9475.72,739.75
756,97,6,19612,5992.53,
757,207,9,21559,3796.61,914.04
758,152,5,10140,6767.23,
759,332,4,26121,3124.38,812.14
760,337,2,6329,4998.92,754.69
761,262,15,3996,7156.24,119.15
762,245,2,14853,7211.99,
763,84,14,2808,4692.81,
764,145,15,5832,2574.39,
765,163,4,29212,5548.08,109.08
766,351,6,22860,9636.36,
767,4,12,28544,4321.7,
768,44,7,16370,6036.75,
769,334,5,11389,8465.91,699.79
770,327,6,5202,1313.18,
771,137,14,15729,396.0,484.76
772,288,9,17988,2113.37,559.96
773,74,3,1547,628.69,
774,218,5,8194,8017.27,981.12
775,43,8,23707,2243.43,
776,157,9,11579,6539.58,576.09
777,22,12,8138,652.28,
778,263,13,26131,1562.41,
779,218,11,15588,352.31,
780,253,4,16092,6967.14,
781,342,1,5001,6997.66,470.12
782,24,10,24941,8421.95,528.91
783,100,2,29158,621.9,
784,45,15,8475,7781.44,959.57
785,31,11,26893,6760.64,
786,170,10,2725,8464.1,246.04
787,175,3,15653,3729.24,738.23
788,63,6,1507,2843.01,
789,6,12,19352,3094.27,
790,213,5,21635,3885.2,140.11
791,113,3,29836,9878.22,
792,353,3,4004,958.98,
793,126,4,19972,4705.74,
794,330,14,19951,219.95,
795,176,4,8664,8382.74,271.21
796,133,14,15178,6329.98,
797,253,11,16992,5532.42,810.77
798,243,15,15590,5957.01,106.79
799,192,10,5723,4351.61,283.98
800,15,12,11834,4924.54,
801,353,12,8617,7681.99,
802,117,10,9989,6648.66,
803,120,11,5836,5922.44,6.17
804,323,8,21602,9738.68,713.3
805,143,15,17231,6585.72,90.39
806,269,13,68,7676.99,262.51
807,170,10,10246,7535.6,
808,91,2,9250,3245.05,305.76
809,96,4,25256,9069.86,934.78
810,218,14,4107,853.75,
811,30,3,15928,2001.03,
812,212,10,16009,5447.29,
813,95,8,14174,1590.33,640.14
814,68,11,14064,2432.61,51.89
815,361,3,25919,3948.1,249.96
816,51,3,20609,4736.98,817.42
817,252,8,22413,8664.8,692.12
818,271,10,2691,134.01,977.81
819,4,15,7971,3601.89,
820,4,13,5707,766.81,831.56
821,50,8,26597,1268.71,
822,134,7,7201,546.83,489.48
823,155,15,28366,7589.55,108.82
824,247,7,11430,814.08,11.32
825,188,7,20167,9970.94,
826,202,2,27043,8499.62,
827,187,6,18283,5269.62,
828,172,9,2921,5665.51,680.33
829,231,14,2428,9259.57,181.35
830,112,3,7313,7511.7,
831,224,5,6626,4959.4,147.02
832,177,14,28830,1106.25,
833,363,14,12126,2030.95,
834,198,3,23939,4956.01,351.61
835,276,12,2286,2808.28,651.73
836,7,12,3388,6854.84,
837,344,15,22433,9429.91,954.15
838,335,9,8998,6335.37,247.93
839,125,3,26297,5258.76,
840,125,14,7152,2594.67,
841,55,15,19559,9164.27,
842,11,4,27045,9602.36,
843,15,2,29603,1577.16,
844,190,13,24628,1501.04,261.59
845,295,14,24362,4616.93,187.97
846,63,3,24069,8043.2,
847,274,10,24161,7172.11,575.92
