balance_id,date_id,account_id,opening_balance,closing_balance,average_balance
115,133,6346,2700.74,2545.32,2623.03
116,281,22880,2260.66,756.82,1508.74
117,98,4615,3714.79,687.3,2201.05
118,290,10788,1228.16,1685.6,1456.88
119,207,6777,1945.2,2187.84,2066.52
120,318,15946,1259.94,2270.67,1765.31
121,321,18870,4378.95,3032.03,3705.49
122,151,12639,2113.6,2518.81,2316.2
123,150,13619,2634.58,680.93,1657.75
124,263,17184,2130.4,975.09,1552.75
125,34,13408,1872.31,1453.13,1662.72
126,95,28675,564.05,4000.81,2282.43
127,326,15750,3272.29,1952.44,2612.36
128,338,10497,4126.8,3921.12,4023.96
129,286,10176,2376.78,819.82,1598.3
130,113,16715,3062.13,2175.99,2619.06
131,356,4405,2487.33,3091.23,2789.28
132,48,28804,5055.71,1570.14,3312.93
133,76,11158,897.0,91.69,494.35
134,148,5263,642.96,4805.59,2724.28
135,244,19756,2388.09,2898.36,2643.23
136,224,12844,1978.61,1960.34,1969.47
137,139,1118,1133.72,1755.56,1444.64
138,88,17458,383.49,1985.55,1184.52
139,347,25238,1393.76,2116.65,1755.2
140,90,6123,3241.27,1136.9,2189.09
141,313,15416,3134.76,2247.64,2691.2
142,152,9327,1154.65,1973.42,1564.04
143,49,26587,3023.36,2718.68,2871.02
144,82,1228,3405.71,2308.51,2857.11
145,179,12861,276.41,3638.98,1957.69
146,352,3912,2060.84,2752.78,2406.81
147,267,5361,2398.86,4374.01,3386.44
148,18,3931,4312.22,2503.71,3407.97
149,258,29858,3288.61,423.22,1855.91
150,185,25837,929.18,2254.96,1592.07
151,289,9646,4082.28,1.25,2041.77
152,302,326,2840.01,3193.47,3016.74
153,145,12487,2301.03,1588.21,1944.62
154,130,16988,1686.74,748.94,1217.84
155,131,15347,98.9,3404.85,1751.88
156,8,20978,1936.94,1306.3,1621.62
157,43,7751,368.37,3443.93,1906.15
158,23,29728,414.13,3058.33,1736.23
159,156,17252,1450.1,1058.11,1254.11
160,267,1938,808.08,1124.93,966.51
161,57,28162,1635.04,833.85,1234.44
162,125,6725,1359.7,4380.46,2870.08
163,157,13120,624.57,1000.42,812.5
164,363,24270,972.4,2328.86,1650.63
165,198,9565,5900.74,887.44,3394.09
166,117,11918,1982.57,2044.74,2013.65
167,45,24935,112.06,1199.7,655.88
168,87,12964,186.17,195.28,190.72
169,304,8686,112.1,636.02,374.06
170,349,20213,811.04,2117.62,1464.33
171,89,21401,3457.65,3836.53,3647.09
172,11,29720,2332.33,4835.01,3583.67
173,206,23478,2447.27,4398.9,3423.09
174,42,25602,5321.63,292.36,2806.99
175,240,25829,2665.5,688.47,1676.99
176,196,12071,2647.16,845.14,1746.15
177,224,18220,2560.95,2479.59,2520.27
178,181,18156,2272.68,1413.97,1843.32
179,324,24567,1730.43,1951.81,1841.12
180,212,27304,272.96,2836.33,1554.64
181,46,1806,1716.97,2498.09,2107.53
182,30,20403,2891.8,495.69,1693.75
183,347,23474,3282.05,4415.31,3848.68
184,188,13892,5047.03,1355.17,3201.1
185,340,6827,1462.73,3121.88,2292.31
186,294,25603,1930.01,2990.42,2460.22
187,354,5903,2807.95,1157.77,1982.86
188,209,23189,1671.66,1917.78,1794.72
189,79,12225,4548.63,2273.64,3411.14
190,42,12123,3267.85,3470.16,3369.01
191,3,1199,1048.22,728.68,888.45
192,258,23602,1021.47,2514.58,1768.03
193,238,28170,1180.32,733.48,956.9
194,108,5421,3292.75,950.17,2121.46
195,358,13955,2933.69,1876.81,2405.25
196,130,17447,3010.61,3027.27,3018.94
197,182,25204,4261.8,1235.45,2748.62
198,150,29780,5322.8,4108.77,4715.78
199,306,23255,1794.03,3557.36,2675.7
200,235,20007,2171.73,2807.11,2489.42
201,69,19605,913.97,2246.42,1580.2
202,95,17933,1368.74,1305.31,1337.03
203,310,23271,767.11,1880.98,1324.05
204,347,20177,2901.62,713.86,1807.74
205,308,25461,38.34,4443.07,2240.7
206,220,1059,379.07,262.29,320.68
207,15,13874,2340.53,2092.52,2216.53
208,166,22317,3738.62,708.3,2223.46
209,211,14289,1704.86,2250.79,1977.82
210,147,8367,4441.89,1802.86,3122.38
211,363,25579,709.34,1483.8,1096.57
212,302,4234,3214.6,128.18,1671.39
213,217,29324,1296.13,923.46,1109.8
214,268,15017,2913.01,414.05,1663.53
215,131,28540,3542.97,1726.64,2634.8
216,149,3877,2107.44,35.52,1071.48
217,8,4471,1485.38,1034.31,1259.85
218,161,25080,876.04,2473.26,1674.65
219,137,12346,1464.88,1992.32,1728.6
220,8,12122,2506.77,2352.54,2429.65
221,322,13330,791.6,177.35,484.48
222,319,16909,2812.27,2019.94,2416.11
223,358,1258,82.04,451.73,266.88
224,123,18313,414.91,2399.79,1407.35
225,152,14884,545.55,5077.6,2811.58
226,246,8209,3257.56,4634.14,3945.85
227,316,19887,2310.46,5670.64,3990.55
228,109,24015,3222.59,2055.12,2638.86
229,331,24173,2558.59,3848.24,3203.41
230,279,23368,756.29,888.14,822.21
231,143,11761,3187.97,3269.04,3228.51
232,174,11508,2273.9,584.92,1429.41
233,137,25671,1469.33,2276.99,1873.16
234,7,487,2643.6,1377.06,2010.33
235,188,22500,5081.3,398.68,2739.99
236,255,15994,1539.76,773.7,1156.73
237,202,10076,1778.64,526.32,1152.48
238,340,17716,2871.97,189.43,1530.7
239,131,14286,1899.02,1307.63,1603.33
240,75,15181,4287.21,1277.21,2782.21
241,171,8262,571.52,760.3,665.91
242,239,20986,5886.27,1891.69,3888.98
243,287,5618,1770.31,1175.39,1472.85
244,155,6390,1410.8,2589.38,2000.09
245,357,934,2447.58,3720.33,3083.95
246,236,12658,2339.9,3803.08,3071.49
247,106,21409,2251.31,3238.98,2745.14
248,314,12550,3978.79,2800.48,3389.64
249,251,8669,1701.95,2101.03,1901.49
250,222,23540,1768.21,4591.99,3180.1
251,227,20184,3664.08,3568.35,3616.22
252,57,4068,5415.27,811.62,3113.45
253,327,28602,1299.41,2285.71,1792.56
254,77,21849,1390.26,3344.79,2367.53
255,194,17148,1851.05,2005.63,1928.34
256,47,1094,289.39,1647.25,968.32
257,146,3862,3244.7,319.76,1782.23
258,310,26829,1003.55,422.08,712.81
259,345,20127,1172.77,850.89,1011.83
260,111,9555,2975.33,999.14,1987.23
261,24,21807,3513.31,707.45,2110.38
262,10,5721,3430.14,3726.92,3578.53
263,355,7751,2433.48,3628.52,3031.0
264,207,25941,2897.04,1548.79,2222.91
265,122,29426,1616.84,3627.74,2622.29
266,267,12047,4347.51,249.7,2298.61
267,158,20615,2673.99,3261.17,2967.58
268,336,22140,1772.29,2305.44,2038.87
269,134,10835,1390.1,2841.79,2115.94
270,219,15953,275.5,106.76,191.13
271,167,12372,3507.52,1943.14,2725.33
272,273,9503,4170.44,1724.76,2947.6
273,126,18457,3478.62,2819.4,3149.01
274,186,18814,1877.96,1845.39,1861.68
275,302,18576,3006.34,989.44,1997.89
276,255,9027,1852.95,1085.08,1469.01
277,30,12758,1756.86,3828.16,2792.51
278,45,11243,2669.77,3148.33,2909.05
279,156,17643,4648.99,3863.71,4256.35
280,198,16406,1607.39,2013.5,1810.45
281,157,14756,2063.15,2102.14,2082.64
282,172,28967,1770.4,3301.49,2535.94
283,161,19174,2111.29,2748.38,2429.84
284,302,13365,5167.01,2443.97,3805.49
285,278,27716,4246.33,1626.16,2936.24
286,340,20780,1844.48,1655.54,1750.01
287,178,20906,1035.72,2553.57,1794.64
288,330,6913,3767.97,3227.73,3497.85
289,71,12807,1218.74,3234.23,2226.49
290,77,17785,1707.31,10.53,858.92
291,235,10043,5244.24,2749.3,3996.77
292,247,18903,2474.06,1964.3,2219.18
293,138,19774,4439.49,2739.15,3589.32
294,325,17397,2259.77,3898.34,3079.06
295,268,12087,930.97,2383.96,1657.47
296,46,18261,2085.47,170.79,1128.13
297,155,5956,1851.12,4049.41,2950.26
298,281,620,2425.41,111.21,1268.31
299,163,25879,2060.6,1207.94,1634.27
300,77,22423,2648.77,4414.24,3531.51
301,270,6725,2335.65,1667.34,2001.49
302,103,3407,1977.66,1752.41,1865.04
303,89,13805,1108.62,1156.59,1132.61
304,294,8,1189.94,722.82,956.38
305,124,25792,4113.72,495.95,2304.84
306,232,3460,1290.46,3616.35,2453.4
307,329,4596,1114.98,2676.47,1895.72
308,360,6874,4131.25,2222.03,3176.64
309,264,2987,1045.04,2386.94,1715.99
310,275,24375,2320.68,2721.98,2521.33
311,109,13393,648.61,2549.7,1599.15
312,165,8530,4066.07,534.07,2300.07
313,160,6034,2737.41,2096.21,2416.81
314,181,10383,2869.79,2536.64,2703.22
315,345,1178,1703.16,3324.33,2513.74
316,334,28335,3074.72,3132.57,3103.64
317,202,2826,179.27,50.25,114.76
318,352,28048,4368.6,1752.15,3060.38
319,81,28242,5512.47,3394.98,4453.73
320,276,28920,1360.18,2277.77,1818.97
321,189,29308,2882.83,1978.52,2430.68
322,272,3729,1296.31,1459.9,1378.11
323,171,28527,1024.52,274.43,649.48
324,243,2661,2392.4,1036.76,1714.58
325,147,16236,3300.15,790.08,2045.12
326,313,29013,3015.77,3179.33,3097.55
327,277,18886,3651.01,1373.69,2512.35
328,84,22516,1031.88,2283.58,1657.73
329,316,28038,1096.25,1048.09,1072.17
330,73,6516,4276.96,5816.12,5046.54
331,300,18599,479.6,205.06,342.33
332,301,19827,3000.13,687.75,1843.94
333,41,198,708.36,1622.34,1165.35
334,186,27108,4305.33,2631.42,3468.38
335,116,18932,1191.56,732.32,961.94
336,94,12413,2139.35,1163.17,1651.26
337,151,28105,2888.01,1578.66,2233.34
338,152,19682,982.62,3159.22,2070.92
339,93,21945,677.54,2673.97,1675.75
340,284,17761,1205.7,2344.64,1775.17
341,272,27393,3004.99,1822.28,2413.63
342,122,12275,850.32,4091.25,2470.78
343,103,15570,2676.39,3034.55,2855.47
344,354,29091,3886.56,2268.12,3077.34
345,12,18798,855.38,2979.96,1917.67
346,7,24144,83.53,4206.78,2145.15
347,123,419,3978.68,2361.9,3170.29
348,213,20708,1993.25,3835.24,2914.24
349,315,2372,875.81,2626.71,1751.26
350,239,504,4418.05,354.72,2386.39
351,8,20966,3213.75,2212.74,2713.24
352,353,6177,1280.45,2010.72,1645.59
353,24,27924,3669.32,4061.03,3865.18
354,151,13415,3114.6,2168.99,2641.8
355,45,12774,3230.34,2467.31,2848.82
356,268,17405,2499.26,2181.26,2340.26
357,144,22294,4002.41,2218.6,3110.51
358,248,25956,2478.78,2592.18,2535.48
359,71,16498,502.65,2921.67,1712.16
360,354,12610,3351.43,1147.9,2249.66
361,263,10365,1781.25,2100.66,1940.95
362,225,17529,964.64,1434.38,1199.51
363,31,14441,1798.11,3216.0,2507.05
364,125,28893,2637.26,1279.01,1958.14
365,20,7459,227.96,1318.02,772.99
366,108,12450,3041.63,1880.83,2461.23
367,48,4171,595.03,2482.83,1538.93
368,3,11589,1011.96,15.58,513.77
369,232,4684,1546.26,1948.05,1747.15
370,276,12268,2407.27,2573.54,2490.4
371,176,2860,925.43,3106.83,2016.13
372,314,8894,2558.56,1199.05,1878.8
373,322,16721,2907.27,708.17,1807.72
374,162,11840,2510.47,5467.05,3988.76
375,238,24912,5030.62,4643.8,4837.21
376,204,1543,737.93,5062.49,2900.21
377,152,6811,1342.91,848.64,1095.78
378,176,18145,929.74,1288.9,1109.32
379,331,28039,2641.17,1029.04,1835.11
380,304,24849,3829.96,1717.92,2773.94
381,182,8405,2798.42,2421.26,2609.84
382,22,16941,1425.83,3276.17,2351.0
383,27,16862,199.23,4133.57,2166.4
384,214,15074,1597.53,2516.97,2057.25
385,240,21631,4252.33,316.27,2284.3
386,151,843,2584.68,1923.24,2253.96
387,271,22426,1605.19,1168.29,1386.74
388,113,879,3986.9,226.45,2106.68
389,303,405,2494.4,3666.43,3080.41
390,204,16466,1956.72,3660.85,2808.78
391,9,1847,260.4,1463.32,861.86
392,359,23702,2042.14,598.38,1320.26
393,89,27922,4488.39,2448.08,3468.24
394,280,6742,482.02,1392.24,937.13
395,137,20579,3243.74,871.19,2057.47
396,237,24603,1994.94,1301.79,1648.37
397,209,10961,1186.6,4515.27,2850.94
398,225,24124,2548.44,2093.05,2320.74
399,160,4254,2733.27,1396.68,2064.97
400,79,11702,183.74,3489.29,1836.51
401,277,27247,950.81,2702.37,1826.59
402,19,1725,3518.56,3103.87,3311.22
403,294,29301,2453.06,3177.61,2815.34
404,169,203,2733.84,1682.72,2208.28
405,258,12994,1573.43,2259.23,1916.33
406,174,8378,666.4,181.5,423.95
407,48,27284,2142.47,2334.73,2238.6
408,134,14341,5413.38,2909.57,4161.48
409,36,6327,1634.01,2497.63,2065.82
410,360,4870,2207.83,4175.4,3191.61
411,335,8748,1994.55,2826.15,2410.35
412,82,17709,349.8,3536.15,1942.98
413,210,22560,157.81,1591.66,874.74
414,181,12077,1520.2,2485.14,2002.67
415,289,21838,1305.2,1909.66,1607.43
416,78,4934,2061.33,1556.92,1809.12
417,56,21653,2358.35,1767.36,2062.86
418,61,4833,4406.63,193.96,2300.3
419,349,10918,1914.07,3950.2,2932.13
420,210,29930,1584.69,3405.86,2495.28
421,260,26249,2974.66,1656.99,2315.82
422,110,17718,486.01,2265.25,1375.63
423,117,12690,512.32,4103.99,2308.15
424,171,21456,1430.32,1401.06,1415.69
425,255,21706,2256.5,2172.39,2214.44
426,92,8540,1188.68,3871.22,2529.95
427,181,11290,106.74,515.57,311.16
428,227,4241,1361.73,3236.05,2298.89
429,79,19905,3474.11,412.02,1943.07
430,363,9394,2374.31,1790.96,2082.64
431,32,23775,1676.03,4489.98,3083.0
432,125,4892,813.94,8.77,411.36
433,28,29468,3442.61,2105.54,2774.07
434,325,28605,1314.93,1109.23,1212.08
435,292,25350,4058.63,22.16,2040.39
436,345,29398,1088.27,1480.91,1284.59
437,225,3182,551.14,2195.97,1373.55
438,133,16220,1902.48,4909.31,3405.9
439,197,5800,2058.58,332.61,1195.6
440,362,19770,1336.57,5055.64,3196.11
441,206,2308,53.84,1909.68,981.76
442,117,26352,4394.55,472.83,2433.69
443,144,21307,2798.36,2718.74,2758.55
444,181,17354,1068.48,208.98,638.73
445,153,7009,3854.81,2116.4,2985.61
446,120,25465,2770.08,286.76,1528.42
447,203,28719,2005.69,2315.97,2160.83
448,234,25964,1904.58,2717.21,2310.89
449,107,20217,2619.16,2687.68,2653.42
450,300,3919,1489.18,2202.95,1846.07
451,295,628,171.04,670.0,420.52
452,162,28705,3070.1,3364.36,3217.23
453,26,22572,2744.68,2151.54,2448.11
454,313,1884,2420.65,850.54,1635.6
455,98,23452,2480.45,2700.22,2590.34
456,242,28682,1468.49,2262.86,1865.68
457,63,23920,2524.24,3595.59,3059.91
458,222,6987,1905.43,2668.63,2287.03
459,129,24435,2273.06,2282.09,2277.57
460,247,8540,2774.22,2304.59,2539.4
461,242,18849,501.59,1004.24,752.91
462,9,11698,465.92,4418.83,2442.38
463,26,13862,4232.76,3065.4,3649.08
464,310,25569,220.64,3180.6,1700.62
465,361,8412,3772.14,39.33,1905.73
466,37,13811,2171.6,2649.94,2410.77
467,100,8628,1317.86,2581.11,1949.49
468,153,267,3539.56,1760.03,2649.8
469,266,14213,4268.54,1354.48,2811.51
470,232,12234,2153.1,1625.85,1889.47
471,357,2640,2188.17,1793.8,1990.99
472,79,19560,2056.74,1944.25,2000.49
473,41,21551,2240.23,2003.84,2122.03
474,89,8765,3701.57,1525.23,2613.4
475,162,23570,1798.43,664.31,1231.37
476,2,28017,581.55,4443.86,2512.7
477,198,654,3501.73,3176.06,3338.89
478,147,21587,4984.17,1843.3,3413.74
479,149,3813,1948.39,823.51,1385.95
480,110,27250,1497.41,2025.21,1761.31
481,183,7132,1539.86,1104.43,1322.14
482,83,23667,582.98,903.94,743.46
483,179,28257,2601.09,1242.45,1921.77
484,185,6488,4585.08,3638.51,4111.8
485,5,15631,3487.46,1537.19,2512.32
486,240,1458,295.97,3957.73,2126.85
487,141,4359,2217.94,2716.07,2467.01
488,82,23309,3836.8,1739.37,2788.09
489,43,13244,3158.11,1120.86,2139.49
490,346,8107,1266.98,676.8,971.89
491,265,5212,3067.73,3490.44,3279.09
492,324,13330,345.85,2324.35,1335.1
493,60,13244,296.28,1482.22,889.25
494,60,13353,3746.29,4167.48,3956.88
495,107,19945,3341.36,1163.05,2252.2
496,315,6170,554.3,2649.68,1601.99
497,30,7460,796.51,3129.18,1962.84
498,39,26035,1791.22,777.35,1284.29
499,268,28057,3408.02,4297.31,3852.66
500,54,6577,1399.44,4847.89,3123.66
501,361,18384,1221.12,677.16,949.14
502,38,8030,706.34,162.15,434.25
503,19,26591,1053.21,504.74,778.98
504,210,10719,2095.46,1442.53,1768.99
505,270,13338,4198.22,1098.24,2648.23
506,150,3061,3824.76,1234.77,2529.77
507,273,13402,5441.04,1683.59,3562.32
508,21,20607,2794.12,2560.48,2677.3
509,31,4088,2171.98,4201.68,3186.83
510,94,21237,2429.6,1272.24,1850.92
511,38,25294,960.49,2271.72,1616.11
512,218,17189,3727.99,3405.26,3566.62
513,2,13254,1420.94,1029.92,1225.43
514,197,28465,90.41,945.99,518.2
515,294,15862,690.21,1889.97,1290.09
516,110,25425,1344.81,2126.7,1735.75
517,203,10083,3456.97,2161.31,2809.14
518,103,7301,1288.56,646.73,967.64
519,136,8952,2936.47,1625.39,2280.93
520,357,15893,530.67,3112.78,1821.73
521,336,11731,164.36,1666.25,915.31
522,181,29702,6059.96,2484.09,4272.02
523,219,29619,4251.59,827.25,2539.42
524,68,17602,971.48,2580.34,1775.91
525,355,26739,2325.91,1211.7,1768.8
526,98,8236,4188.36,550.07,2369.21
527,288,9118,885.73,2810.17,1847.95
528,339,18512,1106.6,2866.51,1986.56
529,40,12816,1797.09,170.98,984.03
530,24,23313,3731.24,210.84,1971.04
531,139,17481,1209.22,3566.2,2387.71
532,278,323,2757.3,4146.48,3451.89
533,121,2902,1098.41,2600.72,1849.57
534,123,14287,102.54,1361.42,731.98
535,70,16788,930.19,1922.96,1426.58
536,221,21993,1345.05,2060.48,1702.76
537,182,26467,834.06,1147.75,990.9
538,125,8613,2108.28,3076.11,2592.2
539,159,29998,2196.3,1217.1,1706.7
540,282,24191,561.72,4352.0,2456.86
541,132,9150,2663.5,949.7,1806.6
542,50,23843,246.06,4488.99,2367.53
543,244,24411,201.71,2233.23,1217.47
544,95,25497,2019.59,431.88,1225.73
545,192,12422,1215.02,4306.16,2760.59
546,8,26390,4209.77,614.74,2412.26
547,74,5735,3973.77,3020.48,3497.12
548,291,20732,2787.88,860.99,1824.43
549,212,15476,70.18,1560.89,815.54
550,144,16528,848.5,2082.21,1465.36
551,282,5646,4714.77,558.84,2636.81
552,192,13831,2522.08,1121.09,1821.59
553,236,5720,1319.65,2353.46,1836.56
554,249,29975,901.89,1801.24,1351.57
555,354,19414,4985.37,5101.74,5043.56
556,312,16995,3665.15,3711.83,3688.49
557,208,4229,651.43,2056.05,1353.74
558,9,13893,1964.68,532.45,1248.57
559,299,29833,1097.38,2610.9,1854.14
560,289,8470,888.89,1724.46,1306.67
561,161,28328,1202.26,2218.33,1710.3
562,361,25105,925.85,1038.13,981.99
563,50,23552,3579.34,717.33,2148.34
564,3,21290,31.47,844.61,438.04
565,263,22053,836.1,3325.76,2080.93
566,199,3725,1572.81,3308.62,2440.72
567,354,5969,1897.36,3130.32,2513.84
568,283,26408,2407.48,1064.55,1736.01
569,102,14895,3663.92,64.45,1864.18
570,169,4175,867.87,2838.37,1853.12
571,115,28888,1295.68,3639.1,2467.39
572,157,28131,1434.15,1096.67,1265.41
573,328,7458,353.2,662.57,507.88
574,336,29276,2884.32,1967.69,2426.01
575,143,4122,5048.37,2038.55,3543.46
576,299,20759,3771.02,3571.21,3671.11
577,277,29840,3721.9,3256.13,3489.02
578,181,29525,3435.88,470.84,1953.36
579,53,14807,4311.16,566.66,2438.91
580,161,24244,1748.33,1802.7,1775.51
581,324,20410,2635.63,2551.99,2593.81
582,13,15409,139.93,1272.65,706.29
583,204,13039,2261.33,1784.61,2022.97
584,115,1147,2283.39,2486.22,2384.8
585,261,24484,1020.53,4487.21,2753.87
586,154,1609,3400.4,761.4,2080.9
587,29,23376,3896.14,3843.35,3869.74
588,120,21258,1868.42,3741.75,2805.09
589,340,11762,602.05,748.82,675.43
590,197,2094,3513.58,493.4,2003.49
591,109,12288,2896.3,2792.47,2844.39
592,38,936,346.55,1443.79,895.17
593,135,23139,1978.62,528.12,1253.37
594,177,7437,5415.1,644.43,3029.77
595,79,11207,1787.66,3801.86,2794.76
596,53,12665,1537.18,3495.82,2516.5
597,307,12089,5821.6,1404.55,3613.08
598,26,14934,1329.4,1135.58,1232.49
599,89,13794,5710.72,748.42,3229.57
600,14,20429,4512.59,2291.16,3401.88
601,360,16812,2001.49,2516.64,2259.07
602,340,18308,2394.55,2872.6,2633.57
603,201,24781,1611.06,1887.61,1749.34
604,21,16798,4296.42,141.63,2219.03
605,45,9130,1724.91,4684.52,3204.72
606,214,5233,1540.6,23.89,782.25
607,322,22938,2861.27,1419.72,2140.49
608,177,12979,3726.53,3291.67,3509.1
609,52,532,54.91,245.76,150.33
610,114,13519,1375.06,2978.77,2176.91
611,144,28698,2140.31,3214.0,2677.15
612,287,16220,2666.62,1827.75,2247.18
613,34,14561,3789.03,112.33,1950.68
614,238,23732,1183.52,3105.44,2144.48
615,73,11591,846.9,3360.03,2103.47
616,247,22105,1319.28,2358.48,1838.88
617,261,8879,4222.45,206.63,2214.54
618,93,4397,1315.98,523.54,919.76
619,220,870,279.19,3537.19,1908.19
620,172,20600,1444.68,3382.07,2413.38
621,302,10431,1437.97,1529.9,1483.93
622,276,13222,3004.03,1947.11,2475.57
623,284,13506,1184.8,327.28,756.04
624,294,12467,1950.34,992.9,1471.62
625,312,28458,2179.51,3064.38,2621.95
626,352,20762,4351.9,1698.11,3025.0
627,324,607,2691.3,1237.75,1964.53
628,121,8053,606.36,4014.38,2310.37
629,344,7691,773.99,4274.95,2524.47
630,364,11218,785.74,708.34,747.04
631,144,14109,2786.93,4029.79,3408.36
632,351,25318,575.42,3464.82,2020.12
633,255,5164,4223.69,2453.97,3338.83
634,193,15578,1837.15,2514.39,2175.77
635,34,1449,1200.08,832.24,1016.16
636,238,15230,2878.82,1443.56,2161.19
637,291,12897,1267.36,2749.69,2008.53
638,216,26379,1507.83,2954.0,2230.91
639,129,9210,1877.24,1219.86,1548.55
640,175,3589,349.34,251.23,300.28
641,33,25879,2224.93,225.77,1225.35
642,112,10601,3003.39,1205.09,2104.24
643,129,4940,5221.17,3172.52,4196.85
644,58,11074,1810.1,3174.44,2492.27
645,255,9458,1828.3,1803.11,1815.7
646,133,15616,1932.35,835.92,1384.13
647,71,22637,17.08,1435.15,726.12
648,351,20585,3396.14,3304.1,3350.12
649,174,4770,101.55,3711.62,1906.59
650,219,8734,2296.02,1873.26,2084.64
651,11,9265,1863.47,293.51,1078.49
