loan_id,loan_type,loan_amount,interest_rate
89,Auto,2236.25,3.65
90,Auto,2266.94,1.15
91,Auto,42230.51,2.41
92,Mortgage,27713.31,5.31
93,Mortgage,23370.59,4.28
94,Student,38580.49,1.31
95,Auto,48963.16,2.14
96,Mortgage,37792.23,4.57
97,Auto,31687.38,3.81
98,Personal,31762.52,1.85
99,Mortgage,14702.65,5.77
100,Personal,11860.91,3.59
101,Auto,11063.07,1.69
102,Personal,44860.78,4.82
103,Mortgage,42365.54,5.13
104,Mortgage,6499.15,4.08
105,Mortgage,39849.19,4.48
106,Auto,38101.57,1.61
107,Personal,22791.47,3.28
108,Mortgage,28344.63,3.48
109,Personal,4500.37,2.53
110,Mortgage,19141.65,5.45
111,Auto,15109.94,1.15
112,Mortgage,21598.38,4.71
113,Student,19287.38,2.69
114,Personal,31978.62,2.55
115,Personal,22635.66,1.49
116,Mortgage,42918.84,4.19
117,Student,3857.27,4.91
118,Personal,2772.82,3.42
119,Student,19055.21,1.92
120,Personal,30873.97,3.28
121,Student,21963.99,3.75
122,Student,39708.76,3.83
123,Mortgage,10459.43,5.64
124,Personal,29464.29,3.48
125,Student,36066.82,1.12
126,Personal,33376.74,4.35
127,Personal,15019.32,1.07
128,Student,20844.33,2.9
129,Personal,19644.71,4.56
130,Auto,30146.89,2.5
131,Personal,15899.82,4.12
132,Personal,31750.27,1.22
133,Mortgage,7077.85,4.03
134,Student,4532.55,4.77
135,Student,11682.61,4.49
136,Auto,33722.29,2.49
137,Student,41536.74,3.21
138,Personal,23133.88,2.17
139,Auto,39683.56,4.37
140,Mortgage,9530.76,5.96
141,Personal,45812.74,3.34
142,Auto,11820.3,1.04
143,Student,37109.59,4.35
144,Student,6931.99,4.1
145,Auto,18327.41,3.96
146,Auto,34220.16,4.07
147,Student,14015.26,3.35
148,Student,3556.66,1.65
149,Auto,39467.56,3.95
150,Student,36597.01,3.13
151,Personal,30493.66,4.69
152,Personal,31167.98,2.78
153,Mortgage,23193.11,4.55
154,Student,48332.98,3.52
155,Mortgage,4488.25,5.2
156,Auto,44921.23,4.24
157,Student,6429.54,2.13
158,Personal,41294.99,3.1
159,Auto,30721.42,3.53
160,Mortgage,21752.3,4.48
161,Mortgage,10161.78,3.93
162,Student,22153.57,1.85
163,Mortgage,7078.72,5.66
164,Personal,12515.37,1.38
165,Personal,45312.75,4.53
166,Mortgage,6009.23,4.29
167,Personal,9121.43,4.26
168,Student,13307.6,3.53
169,Personal,44975.61,1.66
170,Auto,3521.98,1.27
171,Student,9702.25,3.39
172,Personal,37558.93,2.13
173,Mortgage,43016.21,3.04
174,Auto,15112.32,3.66
175,Mortgage,11343.91,5.18
176,Personal,9784.03,4.35
177,Auto,5864.83,3.49
178,Mortgage,18380.87,4.47
179,Personal,3713.51,3.98
180,Student,11333.94,4.46
181,Student,27897.2,1.78
182,Auto,21024.8,2.03
183,Auto,10416.12,4.89
184,Auto,29077.98,2.75
185,Student,24222.45,4.53
186,Student,14025.62,2.83
187,Auto,46812.57,2.39
188,Personal,14964.07,4.3
189,Student,16841.23,3.65
190,Mortgage,45108.52,3.91
191,Mortgage,19106.3,4.96
192,Personal,35084.93,4.19
193,Student,4821.33,1.79
194,Student,22749.11,1.52
195,Personal,36327.81,3.81
196,Personal,11772.6,3.65
197,Mortgage,28923.14,4.52
198,Mortgage,21238.26,5.66
199,Mortgage,23493.87,3.53
200,Student,6475.25,2.9
201,Student,25785.37,3.74
202,Mortgage,18765.82,3.15
203,Mortgage,32076.88,4.09
204,Auto,4657.55,3.61
205,Student,29050.17,1.96
206,Mortgage,23641.03,4.63
207,Mortgage,14758.51,5.69
208,Mortgage,42364.99,4.87
209,Auto,14244.2,2.28
210,Personal,11204.62,3.44
211,Student,1527.11,3.2
212,Mortgage,36072.02,3.27
213,Student,32281.62,1.94
214,Auto,41019.36,1.96
215,Auto,49602.84,3.75
216,Auto,9496.6,1.12
217,Mortgage,41500.15,3.11
218,Student,38542.81,2.44
219,Auto,27466.07,3.02
220,Mortgage,23098.68,4.96
221,Personal,44633.72,4.28
222,Auto,18991.08,4.04
223,Student,8211.23,3.41
224,Auto,34760.16,3.51
225,Personal,48116.39,1.98
226,Mortgage,24639.75,3.34
227,Personal,19585.18,4.03
228,Auto,38217.14,4.83
229,Auto,46488.23,4.53
230,Auto,37050.53,2.65
231,Auto,10443.29,4.15
232,Mortgage,49315.97,4.95
233,Student,41547.54,2.06
234,Personal,48598.82,4.22
235,Mortgage,4505.56,3.74
236,Personal,34747.35,2.19
237,Auto,7324.47,4.29
238,Auto,45931.96,4.39
239,Student,10097.15,4.35
240,Mortgage,4612.94,4.28
241,Auto,34942.93,1.51
242,Mortgage,28815.79,4.97
243,Auto,39999.02,1.12
244,Personal,40269.68,1.96
245,Personal,14706.19,3.07
246,Personal,36022.44,4.58
247,Student,48425.76,4.67
248,Personal,11705.26,4.34
249,Mortgage,15338.92,4.17
250,Personal,34501.2,2.22
251,Mortgage,49960.23,5.32
252,Personal,9163.6,1.05
253,Mortgage,20644.39,3.98
254,Auto,11589.17,2.1
255,Student,17938.15,4.39
256,Mortgage,41853.26,4.98
257,Student,26404.39,3.36
258,Auto,17812.64,3.9
259,Mortgage,44110.71,4.67
260,Student,8728.4,4.16
261,Mortgage,49562.94,4.49
262,Student,3700.41,2.69
263,Mortgage,31447.33,5.47
264,Mortgage,12223.0,4.11
265,Personal,5781.07,4.85
266,Auto,49708.53,4.32
267,Auto,7392.01,4.86
268,Student,25122.91,4.4
269,Mortgage,40196.54,3.07
270,Student,33677.92,1.62
271,Auto,44338.66,1.39
272,Personal,44596.75,2.1
273,Auto,4411.07,3.8
274,Personal,4984.38,1.68
275,Mortgage,4037.02,5.94
276,Personal,15250.66,2.25
277,Personal,27022.95,2.73
278,Auto,15828.56,3.64
279,Student,38316.27,4.59
280,Student,21415.67,4.24
281,Student,30995.56,3.01
282,Student,14587.66,2.06
283,Auto,45632.91,3.23
284,Mortgage,24189.97,3.05
285,Mortgage,21103.26,3.51
286,Mortgage,48735.95,3.35
287,Student,22511.26,3.81
288,Mortgage,27141.98,3.9
289,Mortgage,5119.51,5.81
290,Mortgage,42947.88,4.36
291,Personal,35634.38,1.46
292,Personal,24880.26,4.61
293,Personal,45241.25,4.33
294,Personal,34905.03,4.53
295,Mortgage,33522.28,3.74
296,Student,33722.11,1.74
297,Mortgage,36506.01,4.95
298,Personal,5173.67,2.87
299,Mortgage,16315.01,4.9
300,Auto,14901.8,2.22
301,Auto,19025.78,2.76
302,Mortgage,10781.17,3.57
303,Personal,13126.36,3.88
304,Personal,41608.04,1.59
305,Student,10484.8,4.38
306,Auto,42034.76,4.95
307,Personal,44884.34,1.78
308,Auto,21542.02,2.35
309,Personal,37987.5,2.78
310,Auto,49410.83,2.71
311,Mortgage,48965.11,5.56
312,Personal,26927.7,4.67
313,Auto,14368.04,1.89
314,Personal,17391.95,4.82
315,Auto,39086.6,1.61
316,Auto,7828.06,1.53
317,Auto,34805.68,2.73
318,Auto,25468.61,4.68
319,Personal,8158.21,2.34
320,Auto,43711.69,3.58
321,Personal,40921.09,3.09
322,Mortgage,39867.71,5.27
323,Mortgage,17001.03,3.04
324,Personal,4961.44,2.53
325,Mortgage,27011.56,4.72
326,Mortgage,9113.85,4.91
327,Mortgage,48015.44,5.15
328,Student,31418.16,4.5
329,Auto,45504.89,4.46
330,Auto,27325.44,1.35
331,Student,4860.52,1.57
332,Mortgage,5874.7,4.8
333,Student,41596.95,3.23
334,Student,23631.39,1.84
335,Student,40994.41,3.3
336,Personal,8185.81,2.64
337,Student,11393.49,4.03
338,Auto,29573.88,1.58
339,Student,8378.61,3.62
340,Personal,8133.17,4.57
341,Auto,31579.07,2.55
342,Student,21262.73,3.48
343,Auto,11346.59,3.28
344,Mortgage,15594.41,4.38
345,Personal,28338.29,3.34
346,Student,7820.76,2.46
347,Mortgage,6506.39,3.96
348,Auto,49541.46,1.01
349,Mortgage,21437.8,4.52
350,Auto,37648.65,3.66
351,Mortgage,14545.75,3.76
352,Personal,26969.85,4.49
353,Mortgage,8101.62,4.23
354,Mortgage,4347.62,3.67
355,Student,49517.42,4.64
356,Personal,21502.34,2.2
357,Personal,9955.8,1.7
358,Personal,30870.96,2.8
359,Personal,30081.12,4.5
360,Mortgage,26138.21,4.37
361,Mortgage,4770.78,3.09
362,Student,27404.77,2.25
363,Mortgage,43562.07,4.77
364,Personal,12023.34,1.57
365,Mortgage,1815.42,4.82
366,Student,17460.68,4.25
367,Mortgage,20550.02,4.29
368,Auto,27801.17,1.48
369,Auto,8768.92,2.68
370,Mortgage,15098.25,5.53
371,Mortgage,7752.29,3.15
372,Personal,25121.19,3.08
373,Personal,34913.59,4.7
374,Auto,36085.44,2.71
375,Student,8206.54,3.41
376,Mortgage,20748.84,5.3
377,Auto,2673.91,1.08
378,Personal,30384.18,2.92
379,Auto,13880.61,2.14
380,Student,42441.76,1.65
381,Mortgage,8502.78,3.54
382,Mortgage,12127.63,4.67
383,Mortgage,8522.97,5.88
384,Personal,16798.68,4.54
385,Student,20959.58,1.2
386,Mortgage,30588.21,4.24
387,Mortgage,41481.12,4.01
388,Mortgage,24057.27,3.92
389,Auto,28337.45,1.31
390,Personal,41330.22,1.26
391,Personal,36849.02,3.27
392,Personal,5951.2,1.86
393,Mortgage,16700.43,5.48
394,Personal,18293.27,3.97
395,Personal,3916.76,1.85
396,Student,24686.44,3.89
397,Student,6722.06,2.19
398,Auto,25536.44,1.38
399,Personal,6099.36,2.4
400,Auto,2088.23,4.0
401,Mortgage,7513.49,4.95
402,Mortgage,42215.42,4.35
403,Personal,7934.13,4.99
404,Student,38223.01,1.62
405,Student,33557.7,4.14
406,Mortgage,44045.4,3.74
407,Student,30854.22,4.11
408,Personal,17528.09,1.28
409,Student,10082.88,4.38
410,Student,48691.56,4.27
411,Auto,40956.02,4.06
412,Student,34196.87,2.42
413,Student,47157.75,1.63
414,Student,43594.37,2.83
415,Auto,26655.6,1.54
416,Student,27879.08,3.63
417,Student,3438.76,4.33
418,Mortgage,22043.63,4.15
419,Auto,41089.12,2.17
420,Mortgage,16783.08,5.78
421,Mortgage,32179.32,4.96
422,Student,22752.87,1.51
423,Personal,13224.46,4.56
424,Personal,3498.3,2.19
425,Mortgage,5676.86,5.13
426,Personal,4650.9,4.89
427,Student,35972.84,2.65
428,Mortgage,11393.81,5.91
429,Personal,1731.95,3.37
430,Auto,9514.09,2.1
431,Student,1196.47,4.1
432,Mortgage,29778.04,5.26
433,Auto,9149.57,2.03
434,Personal,26954.78,2.44
435,Mortgage,43282.51,5.17
436,Student,30048.42,3.42
437,Student,45524.58,2.78
438,Auto,13990.93,2.61
439,Auto,26842.85,4.33
440,Auto,38714.31,4.62
441,Auto,25479.93,2.62
442,Mortgage,19251.11,5.32
443,Mortgage,18994.88,5.46
444,Mortgage,27298.55,5.56
445,Auto,2196.16,2.93
446,Mortgage,12412.65,4.85
447,Mortgage,44203.19,3.8
448,Personal,18700.05,4.26
449,Auto,24335.63,3.26
450,Auto,40498.17,2.86
451,Auto,4379.07,1.26
452,Personal,25926.84,3.9
453,Mortgage,39424.02,5.23
454,Student,21304.66,3.23
455,Auto,48928.52,1.3
456,Auto,22696.45,3.33
457,Auto,3393.26,3.13
458,Personal,35265.19,1.03
459,Mortgage,14604.79,3.1
460,Personal,46214.7,4.12
461,Student,3766.08,3.44
462,Auto,31185.34,1.16
463,Personal,42455.83,1.2
464,Mortgage,26548.14,5.33
465,Student,16105.83,1.35
466,Student,10466.95,3.39
467,Mortgage,30825.77,5.02
468,Student,20771.41,4.78
469,Auto,20993.16,3.25
470,Student,11096.65,1.09
471,Auto,37784.55,1.99
472,Mortgage,47691.77,5.73
473,Mortgage,13479.65,5.79
474,Auto,44157.95,2.79
475,Student,28889.73,4.04
476,Personal,3156.06,4.83
477,Student,36960.94,1.03
478,Student,39913.34,4.63
479,Student,37133.81,2.87
480,Mortgage,1031.21,4.32
481,Personal,26619.42,3.43
482,Mortgage,31347.13,4.81
483,Student,3172.2,2.88
484,Student,13774.98,2.05
485,Student,10999.73,3.69
486,Auto,33126.47,1.36
487,Student,47307.13,4.02
488,Personal,14210.35,4.3
489,Personal,45530.03,3.67
490,Auto,43985.85,3.99
491,Auto,39737.17,4.31
492,Auto,13522.11,2.29
493,Student,37207.76,2.3
494,Student,14283.07,3.55
495,Auto,42066.8,1.76
496,Auto,39987.27,1.87
497,Auto,37709.57,3.51
498,Mortgage,10826.84,4.44
499,Auto,48137.23,1.87
500,Personal,34389.57,2.54
501,Personal,24271.68,3.58
502,Mortgage,12301.46,4.7
503,Student,46676.15,1.25
504,Auto,36062.03,4.77
505,Personal,9551.74,2.0
506,Auto,4664.93,3.53
507,Student,39441.37,2.87
508,Personal,4268.96,2.48
509,Personal,38605.79,3.24
510,Auto,12540.15,4.0
511,Auto,20306.71,2.5
512,Student,13293.44,4.62
513,Personal,27678.98,2.45
514,Personal,48518.65,4.62
515,Mortgage,42980.05,5.32
516,Mortgage,15036.92,3.29
517,Student,45045.19,1.59
518,Auto,36366.46,3.64
519,Personal,44654.31,3.05
520,Mortgage,27476.8,5.9
521,Personal,2747.14,4.65
522,Student,18328.78,1.49
523,Student,44975.4,3.25
524,Mortgage,28919.29,5.87
525,Auto,41487.56,1.51
526,Personal,9765.2,3.11
527,Student,6679.1,4.51
528,Student,38145.58,3.94
529,Mortgage,49180.94,5.39
530,Personal,3024.35,2.67
531,Mortgage,4666.54,4.13
532,Personal,21048.55,2.2
533,Student,46358.04,4.36
534,Student,21191.39,4.65
535,Personal,20840.83,2.79
536,Mortgage,10921.42,4.82
537,Mortgage,46991.64,3.96
538,Student,35900.96,3.55
539,Student,2754.32,2.39
540,Personal,42284.98,2.65
541,Mortgage,8222.39,4.55
542,Mortgage,4959.84,4.99
543,Personal,43124.93,2.58
544,Personal,31991.83,3.88
545,Personal,10114.49,1.54
546,Auto,1687.69,1.28
547,Student,8857.73,1.23
548,Student,4050.45,1.54
549,Student,48567.21,3.02
550,Mortgage,23687.31,4.69
551,Student,39740.25,1.95
552,Personal,28789.1,1.98
553,Student,28994.34,4.66
554,Personal,5281.86,4.77
555,Auto,7270.75,2.16
556,Student,23683.95,4.72
557,Auto,18260.26,2.57
558,Mortgage,45302.55,4.3
559,Student,44323.15,4.54
560,Auto,10447.16,2.01
561,Student,24252.35,3.65
562,Student,45982.88,1.87
563,Mortgage,34184.01,4.35
564,Student,31505.88,4.06
565,Mortgage,3415.69,4.06
566,Mortgage,27406.83,3.58
567,Mortgage,39937.22,3.77
568,Personal,7846.98,2.68
569,Mortgage,12944.95,4.47
570,Student,22428.91,4.0
571,Mortgage,2892.38,4.79
572,Student,27040.66,2.0
573,Auto,9281.53,1.43
574,Personal,8251.27,3.2
575,Mortgage,8747.87,5.85
576,Auto,7513.04,2.98
577,Auto,48240.88,2.63
578,Auto,31061.24,1.19
579,Student,23254.13,3.52
580,Student,7289.37,1.0
581,Personal,21869.92,2.87
582,Auto,26275.81,4.84
583,Student,25524.32,3.51
584,Auto,11582.92,1.98
585,Auto,5874.83,4.65
586,Mortgage,11482.54,3.77
587,Auto,19815.93,3.17
588,Auto,49842.71,3.56
589,Auto,4318.82,4.41
590,Auto,10109.52,4.4
591,Auto,22688.02,3.32
592,Auto,48454.28,4.45
593,Mortgage,32089.74,4.39
594,Auto,31940.25,1.95
595,Auto,30471.84,2.32
596,Student,41068.06,1.05
597,Mortgage,24105.92,4.07
598,Auto,25228.64,4.12
599,Mortgage,39345.77,3.76
600,Auto,14830.81,3.45
601,Auto,19989.42,3.92
602,Mortgage,34221.81,4.34
603,Personal,15082.11,2.23
604,Mortgage,1684.98,4.9
605,Student,9088.97,1.28
606,Personal,12355.87,1.63
607,Student,37860.98,3.35
608,Mortgage,10101.22,5.27
609,Personal,47649.77,1.62
610,Student,27042.64,3.78
611,Auto,16227.96,2.71
612,Mortgage,11891.57,3.39
613,Personal,20952.33,1.21
614,Mortgage,11887.07,5.07
615,Student,1929.8,4.33
616,Personal,19416.59,4.44
617,Mortgage,34080.73,4.18
618,Student,27600.29,2.61
619,Student,23908.5,4.49
620,Mortgage,40241.73,4.54
621,Personal,38026.13,4.57
622,Personal,36450.82,2.38
623,Auto,33895.97,1.69
624,Mortgage,47940.14,3.99
625,Personal,48986.45,2.35
626,Auto,3063.07,2.72
627,Personal,27582.62,1.84
628,Auto,15296.03,2.83
629,Mortgage,13506.12,4.42
630,Auto,31006.21,3.53
631,Personal,14927.31,4.19
632,Personal,28468.44,1.78
633,Personal,31603.05,2.06
634,Mortgage,1287.08,4.17
635,Auto,7682.13,3.98
636,Auto,16576.47,2.05
637,Mortgage,18568.06,5.01
638,Auto,4744.5,4.26
639,Student,32795.1,4.44
640,Personal,49502.96,1.54
641,Mortgage,1974.74,3.93
642,Personal,8848.91,2.91
643,Student,36402.52,4.55
644,Personal,23055.49,2.6
645,Student,4130.42,3.71
646,Personal,31569.69,4.85
647,Auto,42933.49,2.67
648,Mortgage,42087.0,5.04
649,Personal,3475.23,3.6
650,Auto,47725.65,3.78
651,Auto,41271.49,4.67
652,Mortgage,31345.51,5.8
653,Auto,3950.3,1.41
654,Auto,30090.77,3.94
655,Personal,38935.45,2.23
656,Personal,4017.86,2.19
657,Auto,1037.0,3.61
658,Auto,46949.9,2.11
659,Personal,1698.1,2.02
660,Auto,14435.44,2.52
661,Personal,31245.7,3.46
662,Personal,13151.4,1.36
663,Mortgage,17880.81,3.75
664,Mortgage,38560.75,4.96
665,Auto,49636.34,4.93
666,Mortgage,10385.11,4.77
667,Personal,24079.11,3.39
668,Auto,6841.5,4.27
669,Student,14719.91,2.71
670,Mortgage,1137.97,4.03
671,Mortgage,14673.67,4.67
672,Mortgage,2543.54,4.06
673,Personal,8022.71,2.42
674,Mortgage,7251.92,5.49
675,Personal,18364.93,1.89
676,Personal,44800.26,2.92
677,Mortgage,49328.52,3.48
678,Mortgage,30231.16,3.08
679,Mortgage,37015.94,3.09
680,Student,6153.16,4.54
681,Student,33856.86,1.56
682,Mortgage,22496.07,4.6
683,Personal,5838.34,4.47
684,Mortgage,39839.13,4.44
685,Auto,29525.7,2.74
686,Personal,1204.64,2.86
687,Auto,26387.21,3.72
688,Auto,13213.74,2.12
689,Auto,5685.97,3.22
690,Student,42636.44,2.43
691,Auto,3995.46,3.47
692,Student,38312.93,3.17
693,Student,24570.06,4.45
694,Auto,20004.39,1.68
695,Mortgage,39561.11,4.09
696,Auto,12457.77,3.28
697,Mortgage,15404.21,5.78
698,Student,36109.24,4.12
699,Mortgage,1143.58,4.48
700,Student,46374.47,2.91
701,Mortgage,32429.11,4.91
702,Personal,3919.4,4.17
703,Personal,49725.53,1.59
704,Student,3527.83,4.61
705,Personal,40876.07,2.07
706,Mortgage,47806.98,3.23
707,Auto,31160.78,1.41
708,Auto,41480.18,4.84
709,Auto,28952.0,1.16
710,Auto,27966.61,2.8
711,Mortgage,19055.97,4.35
712,Student,9075.15,1.18
713,Personal,45924.37,3.22
714,Mortgage,38762.26,4.98
715,Personal,18663.56,2.52
716,Student,49046.86,1.6
717,Mortgage,34322.55,3.52
718,Mortgage,44977.51,4.77
719,Personal,38812.86,4.39
720,Student,48957.14,2.23
721,Auto,44055.47,2.29
722,Personal,35137.58,2.28
723,Student,26144.09,4.83
724,Student,25165.43,2.28
725,Auto,41678.14,4.46
726,Auto,22749.57,3.59
727,Personal,33385.62,2.64
728,Auto,1297.86,3.17
729,Mortgage,40986.2,5.06
730,Personal,47678.95,2.89
731,Auto,2986.09,3.04
732,Mortgage,16147.01,4.79
733,Mortgage,13496.65,4.67
734,Mortgage,25920.55,3.36
735,Mortgage,1017.06,5.65
736,Mortgage,9698.48,5.07
737,Mortgage,10254.03,4.57
738,Mortgage,38118.87,3.2
739,Mortgage,42908.23,3.75
740,Auto,13123.03,4.75
741,Mortgage,35322.76,3.76
742,Personal,44548.17,4.2
743,Auto,16930.04,3.83
744,Student,41584.5,1.98
745,Auto,36634.83,1.4
746,Personal,26148.67,2.83
747,Auto,11738.54,4.19
748,Mortgage,23674.1,3.22
749,Mortgage,6475.13,4.49
750,Mortgage,3187.54,4.15
751,Auto,21002.15,4.23
752,Personal,5219.5,4.6
753,Mortgage,40779.43,3.44
754,Personal,12974.73,2.23
755,Personal,43279.22,4.84
756,Auto,10749.44,4.46
757,Personal,44612.32,2.53
758,Student,45747.09,2.18
759,Personal,31529.98,3.78
760,Auto,16615.03,4.85
761,Student,27148.17,4.34
762,Student,14110.14,4.17
763,Auto,45924.56,4.64
764,Auto,33284.15,4.71
765,Student,9197.41,3.43
766,Mortgage,7286.1,3.63
767,Auto,31209.29,1.15
768,Auto,12759.05,4.27
769,Auto,28566.24,4.49
770,Personal,42551.97,1.87
771,Student,49676.01,4.51
772,Mortgage,34763.93,3.17
773,Mortgage,41543.43,4.47
774,Student,12001.42,4.02
775,Personal,25760.19,2.19
776,Student,27452.43,3.07
777,Auto,26051.75,1.69
778,Personal,1243.17,4.15
779,Personal,12378.52,2.51
780,Auto,23224.19,1.15
781,Mortgage,26212.42,4.87
782,Personal,16237.33,4.61
783,Personal,15747.02,3.46
784,Mortgage,11914.62,4.49
785,Auto,19145.94,1.23
786,Mortgage,18621.29,3.43
787,Student,40032.44,4.32
788,Mortgage,26996.32,3.06
789,Student,22909.4,1.46
790,Auto,13161.19,1.18
791,Student,7456.45,1.7
792,Mortgage,33570.06,3.93
793,Student,29610.98,4.96
794,Student,47700.67,1.89
795,Mortgage,12180.82,3.46
796,Personal,42200.58,3.12
797,Personal,9318.76,2.21
798,Auto,4543.13,4.42
799,Personal,11201.64,2.79
800,Mortgage,28808.96,4.22
801,Auto,44837.64,3.57
802,Personal,34873.75,4.15
803,Auto,15447.68,3.29
804,Mortgage,33376.88,3.3
805,Personal,49755.73,4.88
806,Personal,33684.73,3.38
807,Student,45577.35,3.03
808,Mortgage,5301.21,4.88
809,Student,35478.02,1.5
810,Auto,16234.92,2.62
811,Student,19549.68,4.03
812,Student,2107.6,4.88
813,Mortgage,15626.98,5.75
814,Mortgage,42742.95,4.83
815,Mortgage,39059.25,4.08
816,Personal,20353.49,2.96
817,Personal,49663.68,3.82
818,Auto,18633.0,2.16
819,Student,30822.91,4.33
820,Personal,38774.34,1.76
821,Auto,23070.58,3.15
822,Student,5958.04,1.37
823,Student,18375.7,1.99
824,Mortgage,45450.69,3.93
825,Student,16046.46,4.57
826,Student,23907.83,3.14
827,Student,9867.41,1.28
828,Mortgage,14632.67,4.99
829,Mortgage,29119.62,5.61
830,Auto,30255.44,4.94
831,Personal,48561.68,4.48
832,Personal,41638.73,3.84
833,Student,44647.3,3.72
834,Auto,11954.4,4.17
835,Auto,17658.05,3.39
836,Personal,15677.29,1.06
837,Auto,27095.79,1.26
838,Student,31814.2,3.99
839,Student,45472.54,4.53
840,Auto,42763.47,3.94
841,Auto,27139.39,1.22
842,Mortgage,32645.52,4.03
843,Auto,12182.51,1.01
844,Personal,38507.2,4.75
845,Student,35137.91,4.08
846,Mortgage,3450.62,3.69
847,Student,31187.18,2.78
848,Personal,8347.34,1.64
849,Auto,30738.21,2.11
850,Mortgage,12256.4,4.71
851,Mortgage,46054.9,4.25
852,Mortgage,1020.93,5.98
853,Auto,29718.76,3.53
854,Student,25828.02,4.25
855,Student,35035.14,2.83
856,Student,7331.53,1.57
857,Mortgage,35869.69,3.58
858,Auto,38396.62,1.04
859,Mortgage,42179.43,3.08
860,Mortgage,49642.54,5.57
861,Mortgage,16478.69,5.04
862,Mortgage,40351.95,4.3
863,Auto,7861.68,4.54
864,Auto,40484.14,3.38
865,Auto,45280.89,3.16
866,Student,45033.39,4.16
867,Mortgage,7021.57,3.3
868,Auto,1699.58,4.0
869,Student,3091.23,4.96
870,Personal,49914.15,2.52
871,Personal,34782.46,1.33
872,Auto,28503.4,4.02
873,Mortgage,47966.27,5.82
874,Personal,38163.34,1.22
875,Student,28496.09,3.97
876,Student,11470.48,3.08
877,Student,26106.96,1.94
878,Mortgage,25571.51,5.54
879,Personal,43091.8,1.2
880,Student,1761.77,4.41
881,Mortgage,26824.88,4.33
882,Mortgage,23430.41,3.8
883,Personal,1521.49,4.63
884,Student,9626.59,1.03
885,Student,3947.09,1.38
886,Mortgage,19872.75,3.51
887,Student,22514.48,1.23
888,Personal,18961.23,3.2
889,Auto,17013.24,3.71
890,Student,31807.13,3.41
891,Student,18211.82,3.01
892,Personal,10827.54,3.31
893,Student,40655.04,3.03
894,Auto,1545.17,2.74
895,Personal,11521.33,3.63
896,Student,47471.19,3.21
897,Student,20816.06,2.01
898,Mortgage,25404.47,5.68
899,Auto,29476.77,1.08
900,Student,31193.7,2.29
901,Mortgage,42155.19,4.56
902,Auto,47147.59,1.09
903,Mortgage,31560.6,4.87
904,Mortgage,30519.75,4.63
905,Mortgage,49357.33,4.49
906,Auto,17396.78,1.55
907,Student,1303.97,2.79
908,Mortgage,44247.28,5.58
909,Auto,48217.91,2.79
910,Mortgage,44209.13,4.99
911,Personal,17321.92,3.22
